Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,N_PERSONES_AGG
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,186,1
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,155,2
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,71,3
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,41,4
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,19,5
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,13,6
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,7
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,8
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,20,9
2006-01-01,1,Ciutat Vella,1,el Raval,1,1002,211,1
2006-01-01,1,Ciutat Vella,1,el Raval,1,1002,157,2
2006-01-01,1,Ciutat Vella,1,el Raval,1,1002,85,3
2006-01-01,1,Ciutat Vella,1,el Raval,1,1002,40,4
2006-01-01,1,Ciutat Vella,1,el Raval,1,1002,35,5
2006-01-01,1,Ciutat Vella,1,el Raval,1,1002,15,6
2006-01-01,1,Ciutat Vella,1,el Raval,1,1002,15,7
2006-01-01,1,Ciutat Vella,1,el Raval,1,1002,5,8
2006-01-01,1,Ciutat Vella,1,el Raval,1,1002,19,9
2006-01-01,1,Ciutat Vella,1,el Raval,2,1003,309,1
2006-01-01,1,Ciutat Vella,1,el Raval,2,1003,293,2
2006-01-01,1,Ciutat Vella,1,el Raval,2,1003,174,3
2006-01-01,1,Ciutat Vella,1,el Raval,2,1003,110,4
2006-01-01,1,Ciutat Vella,1,el Raval,2,1003,60,5
2006-01-01,1,Ciutat Vella,1,el Raval,2,1003,36,6
2006-01-01,1,Ciutat Vella,1,el Raval,2,1003,34,7
2006-01-01,1,Ciutat Vella,1,el Raval,2,1003,14,8
2006-01-01,1,Ciutat Vella,1,el Raval,2,1003,50,9
2006-01-01,1,Ciutat Vella,1,el Raval,2,1004,438,1
2006-01-01,1,Ciutat Vella,1,el Raval,2,1004,289,2
2006-01-01,1,Ciutat Vella,1,el Raval,2,1004,176,3
2006-01-01,1,Ciutat Vella,1,el Raval,2,1004,108,4
2006-01-01,1,Ciutat Vella,1,el Raval,2,1004,53,5
2006-01-01,1,Ciutat Vella,1,el Raval,2,1004,35,6
2006-01-01,1,Ciutat Vella,1,el Raval,2,1004,12,7
2006-01-01,1,Ciutat Vella,1,el Raval,2,1004,13,8
2006-01-01,1,Ciutat Vella,1,el Raval,2,1004,32,9
2006-01-01,1,Ciutat Vella,1,el Raval,3,1005,368,1
2006-01-01,1,Ciutat Vella,1,el Raval,3,1005,252,2
2006-01-01,1,Ciutat Vella,1,el Raval,3,1005,134,3
2006-01-01,1,Ciutat Vella,1,el Raval,3,1005,69,4
2006-01-01,1,Ciutat Vella,1,el Raval,3,1005,40,5
2006-01-01,1,Ciutat Vella,1,el Raval,3,1005,16,6
2006-01-01,1,Ciutat Vella,1,el Raval,3,1005,15,7
