Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,SEXE,EDAT_Q
2021-01-01,1,Ciutat Vella,1,el Raval,..,1,0
2021-01-01,1,Ciutat Vella,1,el Raval,..,1,2
2021-01-01,1,Ciutat Vella,1,el Raval,11,1,3
2021-01-01,1,Ciutat Vella,1,el Raval,100,1,4
2021-01-01,1,Ciutat Vella,1,el Raval,259,1,5
2021-01-01,1,Ciutat Vella,1,el Raval,240,1,6
2021-01-01,1,Ciutat Vella,1,el Raval,235,1,7
2021-01-01,1,Ciutat Vella,1,el Raval,176,1,8
2021-01-01,1,Ciutat Vella,1,el Raval,175,1,9
2021-01-01,1,Ciutat Vella,1,el Raval,172,1,10
2021-01-01,1,Ciutat Vella,1,el Raval,163,1,11
2021-01-01,1,Ciutat Vella,1,el Raval,171,1,12
2021-01-01,1,Ciutat Vella,1,el Raval,170,1,13
2021-01-01,1,Ciutat Vella,1,el Raval,179,1,14
2021-01-01,1,Ciutat Vella,1,el Raval,182,1,15
2021-01-01,1,Ciutat Vella,1,el Raval,179,1,16
2021-01-01,1,Ciutat Vella,1,el Raval,203,1,17
2021-01-01,1,Ciutat Vella,1,el Raval,126,1,18
2021-01-01,1,Ciutat Vella,1,el Raval,37,1,19
2021-01-01,1,Ciutat Vella,1,el Raval,..,1,20
2021-01-01,1,Ciutat Vella,1,el Raval,..,2,0
2021-01-01,1,Ciutat Vella,1,el Raval,..,2,1
2021-01-01,1,Ciutat Vella,1,el Raval,6,2,2
2021-01-01,1,Ciutat Vella,1,el Raval,8,2,3
2021-01-01,1,Ciutat Vella,1,el Raval,105,2,4
2021-01-01,1,Ciutat Vella,1,el Raval,294,2,5
2021-01-01,1,Ciutat Vella,1,el Raval,368,2,6
2021-01-01,1,Ciutat Vella,1,el Raval,384,2,7
2021-01-01,1,Ciutat Vella,1,el Raval,364,2,8
2021-01-01,1,Ciutat Vella,1,el Raval,315,2,9
2021-01-01,1,Ciutat Vella,1,el Raval,281,2,10
2021-01-01,1,Ciutat Vella,1,el Raval,243,2,11
2021-01-01,1,Ciutat Vella,1,el Raval,193,2,12
2021-01-01,1,Ciutat Vella,1,el Raval,164,2,13
2021-01-01,1,Ciutat Vella,1,el Raval,139,2,14
2021-01-01,1,Ciutat Vella,1,el Raval,113,2,15
2021-01-01,1,Ciutat Vella,1,el Raval,90,2,16
2021-01-01,1,Ciutat Vella,1,el Raval,61,2,17
2021-01-01,1,Ciutat Vella,1,el Raval,23,2,18
2021-01-01,1,Ciutat Vella,1,el Raval,6,2,19
2021-01-01,1,Ciutat Vella,1,el Raval,..,2,20
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,1,3
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,57,1,4
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,146,1,5
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,141,1,6
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,108,1,7
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,92,1,8
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,72,1,9
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,70,1,10
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,64,1,11
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,84,1,12
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,84,1,13
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,59,1,14
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,66,1,15
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,71,1,16
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,55,1,17
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,49,1,18
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,25,1,19
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,1,20
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,2,0
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,5,2,3
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,34,2,4
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,130,2,5
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,182,2,6
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,124,2,7
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,142,2,8
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,124,2,9
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,107,2,10
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,116,2,11
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,74,2,12
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,75,2,13
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,62,2,14
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,42,2,15
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,24,2,16
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,21,2,17
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,2,18
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,2,19
2021-01-01,1,Ciutat Vella,3,la Barceloneta,..,1,0
2021-01-01,1,Ciutat Vella,3,la Barceloneta,..,1,1
2021-01-01,1,Ciutat Vella,3,la Barceloneta,..,1,3
2021-01-01,1,Ciutat Vella,3,la Barceloneta,42,1,4
