Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,N_PERSONES_AGG
2004-01-01,1,Ciutat Vella,1,el Raval,1,1001,190,1
2004-01-01,1,Ciutat Vella,1,el Raval,1,1001,131,2
2004-01-01,1,Ciutat Vella,1,el Raval,1,1001,80,3
2004-01-01,1,Ciutat Vella,1,el Raval,1,1001,53,4
2004-01-01,1,Ciutat Vella,1,el Raval,1,1001,19,5
2004-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,6
2004-01-01,1,Ciutat Vella,1,el Raval,1,1001,4,7
2004-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,8
2004-01-01,1,Ciutat Vella,1,el Raval,1,1001,10,9
2004-01-01,1,Ciutat Vella,1,el Raval,1,1002,220,1
2004-01-01,1,Ciutat Vella,1,el Raval,1,1002,154,2
2004-01-01,1,Ciutat Vella,1,el Raval,1,1002,68,3
2004-01-01,1,Ciutat Vella,1,el Raval,1,1002,48,4
2004-01-01,1,Ciutat Vella,1,el Raval,1,1002,25,5
2004-01-01,1,Ciutat Vella,1,el Raval,1,1002,18,6
2004-01-01,1,Ciutat Vella,1,el Raval,1,1002,9,7
2004-01-01,1,Ciutat Vella,1,el Raval,1,1002,8,8
2004-01-01,1,Ciutat Vella,1,el Raval,1,1002,21,9
2004-01-01,1,Ciutat Vella,1,el Raval,2,1003,322,1
2004-01-01,1,Ciutat Vella,1,el Raval,2,1003,284,2
2004-01-01,1,Ciutat Vella,1,el Raval,2,1003,166,3
2004-01-01,1,Ciutat Vella,1,el Raval,2,1003,128,4
2004-01-01,1,Ciutat Vella,1,el Raval,2,1003,63,5
2004-01-01,1,Ciutat Vella,1,el Raval,2,1003,29,6
2004-01-01,1,Ciutat Vella,1,el Raval,2,1003,25,7
2004-01-01,1,Ciutat Vella,1,el Raval,2,1003,13,8
2004-01-01,1,Ciutat Vella,1,el Raval,2,1003,33,9
2004-01-01,1,Ciutat Vella,1,el Raval,2,1004,409,1
2004-01-01,1,Ciutat Vella,1,el Raval,2,1004,310,2
2004-01-01,1,Ciutat Vella,1,el Raval,2,1004,174,3
2004-01-01,1,Ciutat Vella,1,el Raval,2,1004,103,4
2004-01-01,1,Ciutat Vella,1,el Raval,2,1004,56,5
2004-01-01,1,Ciutat Vella,1,el Raval,2,1004,23,6
2004-01-01,1,Ciutat Vella,1,el Raval,2,1004,14,7
2004-01-01,1,Ciutat Vella,1,el Raval,2,1004,14,8
2004-01-01,1,Ciutat Vella,1,el Raval,2,1004,23,9
2004-01-01,1,Ciutat Vella,1,el Raval,3,1005,383,1
2004-01-01,1,Ciutat Vella,1,el Raval,3,1005,232,2
2004-01-01,1,Ciutat Vella,1,el Raval,3,1005,142,3
2004-01-01,1,Ciutat Vella,1,el Raval,3,1005,76,4
2004-01-01,1,Ciutat Vella,1,el Raval,3,1005,40,5
2004-01-01,1,Ciutat Vella,1,el Raval,3,1005,21,6
2004-01-01,1,Ciutat Vella,1,el Raval,3,1005,10,7
2004-01-01,1,Ciutat Vella,1,el Raval,3,1005,11,8
2004-01-01,1,Ciutat Vella,1,el Raval,3,1005,24,9
2004-01-01,1,Ciutat Vella,1,el Raval,3,1006,252,1
2004-01-01,1,Ciutat Vella,1,el Raval,3,1006,181,2
2004-01-01,1,Ciutat Vella,1,el Raval,3,1006,100,3
2004-01-01,1,Ciutat Vella,1,el Raval,3,1006,51,4
2004-01-01,1,Ciutat Vella,1,el Raval,3,1006,35,5
2004-01-01,1,Ciutat Vella,1,el Raval,3,1006,20,6
2004-01-01,1,Ciutat Vella,1,el Raval,3,1006,12,7
2004-01-01,1,Ciutat Vella,1,el Raval,3,1006,10,8
2004-01-01,1,Ciutat Vella,1,el Raval,3,1006,22,9
2004-01-01,1,Ciutat Vella,1,el Raval,3,1007,216,1
2004-01-01,1,Ciutat Vella,1,el Raval,3,1007,144,2
2004-01-01,1,Ciutat Vella,1,el Raval,3,1007,80,3
2004-01-01,1,Ciutat Vella,1,el Raval,3,1007,63,4
2004-01-01,1,Ciutat Vella,1,el Raval,3,1007,43,5
2004-01-01,1,Ciutat Vella,1,el Raval,3,1007,14,6
2004-01-01,1,Ciutat Vella,1,el Raval,3,1007,15,7
2004-01-01,1,Ciutat Vella,1,el Raval,3,1007,11,8
2004-01-01,1,Ciutat Vella,1,el Raval,3,1007,34,9
2004-01-01,1,Ciutat Vella,1,el Raval,4,1008,304,1
2004-01-01,1,Ciutat Vella,1,el Raval,4,1008,238,2
2004-01-01,1,Ciutat Vella,1,el Raval,4,1008,109,3
2004-01-01,1,Ciutat Vella,1,el Raval,4,1008,90,4
2004-01-01,1,Ciutat Vella,1,el Raval,4,1008,57,5
2004-01-01,1,Ciutat Vella,1,el Raval,4,1008,34,6
2004-01-01,1,Ciutat Vella,1,el Raval,4,1008,20,7
2004-01-01,1,Ciutat Vella,1,el Raval,4,1008,22,8
2004-01-01,1,Ciutat Vella,1,el Raval,4,1008,63,9
2004-01-01,1,Ciutat Vella,1,el Raval,4,1009,307,1
2004-01-01,1,Ciutat Vella,1,el Raval,4,1009,208,2
2004-01-01,1,Ciutat Vella,1,el Raval,4,1009,119,3
2004-01-01,1,Ciutat Vella,1,el Raval,4,1009,82,4
2004-01-01,1,Ciutat Vella,1,el Raval,4,1009,25,5
2004-01-01,1,Ciutat Vella,1,el Raval,4,1009,20,6
2004-01-01,1,Ciutat Vella,1,el Raval,4,1009,11,7
2004-01-01,1,Ciutat Vella,1,el Raval,4,1009,7,8
2004-01-01,1,Ciutat Vella,1,el Raval,4,1009,19,9
2004-01-01,1,Ciutat Vella,1,el Raval,4,1010,272,1
2004-01-01,1,Ciutat Vella,1,el Raval,4,1010,179,2
2004-01-01,1,Ciutat Vella,1,el Raval,4,1010,109,3
2004-01-01,1,Ciutat Vella,1,el Raval,4,1010,82,4
2004-01-01,1,Ciutat Vella,1,el Raval,4,1010,52,5
2004-01-01,1,Ciutat Vella,1,el Raval,4,1010,23,6
2004-01-01,1,Ciutat Vella,1,el Raval,4,1010,17,7
2004-01-01,1,Ciutat Vella,1,el Raval,4,1010,10,8
2004-01-01,1,Ciutat Vella,1,el Raval,4,1010,35,9
2004-01-01,1,Ciutat Vella,1,el Raval,5,1011,443,1
2004-01-01,1,Ciutat Vella,1,el Raval,5,1011,268,2
2004-01-01,1,Ciutat Vella,1,el Raval,5,1011,126,3
2004-01-01,1,Ciutat Vella,1,el Raval,5,1011,88,4
2004-01-01,1,Ciutat Vella,1,el Raval,5,1011,55,5
2004-01-01,1,Ciutat Vella,1,el Raval,5,1011,38,6
2004-01-01,1,Ciutat Vella,1,el Raval,5,1011,33,7
2004-01-01,1,Ciutat Vella,1,el Raval,5,1011,25,8
2004-01-01,1,Ciutat Vella,1,el Raval,5,1011,48,9
2004-01-01,1,Ciutat Vella,1,el Raval,5,1012,292,1
