Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,N_PERSONES_AGG
1998-01-01,1,Ciutat Vella,1,el Raval,1,1001,157,1
1998-01-01,1,Ciutat Vella,1,el Raval,1,1001,141,2
1998-01-01,1,Ciutat Vella,1,el Raval,1,1001,77,3
1998-01-01,1,Ciutat Vella,1,el Raval,1,1001,55,4
1998-01-01,1,Ciutat Vella,1,el Raval,1,1001,20,5
1998-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,6
1998-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,7
1998-01-01,1,Ciutat Vella,1,el Raval,1,1001,1,8
1998-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,9
1998-01-01,1,Ciutat Vella,1,el Raval,1,1002,196,1
1998-01-01,1,Ciutat Vella,1,el Raval,1,1002,142,2
1998-01-01,1,Ciutat Vella,1,el Raval,1,1002,75,3
1998-01-01,1,Ciutat Vella,1,el Raval,1,1002,40,4
1998-01-01,1,Ciutat Vella,1,el Raval,1,1002,27,5
1998-01-01,1,Ciutat Vella,1,el Raval,1,1002,13,6
1998-01-01,1,Ciutat Vella,1,el Raval,1,1002,6,7
1998-01-01,1,Ciutat Vella,1,el Raval,1,1002,2,8
1998-01-01,1,Ciutat Vella,1,el Raval,1,1002,6,9
1998-01-01,1,Ciutat Vella,1,el Raval,2,1003,244,1
1998-01-01,1,Ciutat Vella,1,el Raval,2,1003,251,2
1998-01-01,1,Ciutat Vella,1,el Raval,2,1003,176,3
1998-01-01,1,Ciutat Vella,1,el Raval,2,1003,113,4
1998-01-01,1,Ciutat Vella,1,el Raval,2,1003,46,5
1998-01-01,1,Ciutat Vella,1,el Raval,2,1003,12,6
1998-01-01,1,Ciutat Vella,1,el Raval,2,1003,5,7
1998-01-01,1,Ciutat Vella,1,el Raval,2,1003,6,8
1998-01-01,1,Ciutat Vella,1,el Raval,2,1003,8,9
1998-01-01,1,Ciutat Vella,1,el Raval,2,1004,329,1
1998-01-01,1,Ciutat Vella,1,el Raval,2,1004,226,2
1998-01-01,1,Ciutat Vella,1,el Raval,2,1004,126,3
1998-01-01,1,Ciutat Vella,1,el Raval,2,1004,109,4
1998-01-01,1,Ciutat Vella,1,el Raval,2,1004,42,5
1998-01-01,1,Ciutat Vella,1,el Raval,2,1004,18,6
1998-01-01,1,Ciutat Vella,1,el Raval,2,1004,16,7
1998-01-01,1,Ciutat Vella,1,el Raval,2,1004,1,8
1998-01-01,1,Ciutat Vella,1,el Raval,2,1004,9,9
1998-01-01,1,Ciutat Vella,1,el Raval,3,1005,321,1
1998-01-01,1,Ciutat Vella,1,el Raval,3,1005,279,2
1998-01-01,1,Ciutat Vella,1,el Raval,3,1005,136,3
1998-01-01,1,Ciutat Vella,1,el Raval,3,1005,76,4
1998-01-01,1,Ciutat Vella,1,el Raval,3,1005,32,5
1998-01-01,1,Ciutat Vella,1,el Raval,3,1005,17,6
1998-01-01,1,Ciutat Vella,1,el Raval,3,1005,5,7
1998-01-01,1,Ciutat Vella,1,el Raval,3,1005,3,8
1998-01-01,1,Ciutat Vella,1,el Raval,3,1005,6,9
1998-01-01,1,Ciutat Vella,1,el Raval,3,1006,241,1
1998-01-01,1,Ciutat Vella,1,el Raval,3,1006,191,2
1998-01-01,1,Ciutat Vella,1,el Raval,3,1006,105,3
1998-01-01,1,Ciutat Vella,1,el Raval,3,1006,52,4
1998-01-01,1,Ciutat Vella,1,el Raval,3,1006,27,5
1998-01-01,1,Ciutat Vella,1,el Raval,3,1006,18,6
1998-01-01,1,Ciutat Vella,1,el Raval,3,1006,9,7
1998-01-01,1,Ciutat Vella,1,el Raval,3,1006,5,8
1998-01-01,1,Ciutat Vella,1,el Raval,3,1006,9,9
1998-01-01,1,Ciutat Vella,1,el Raval,3,1007,329,1
1998-01-01,1,Ciutat Vella,1,el Raval,3,1007,225,2
1998-01-01,1,Ciutat Vella,1,el Raval,3,1007,124,3
1998-01-01,1,Ciutat Vella,1,el Raval,3,1007,88,4
1998-01-01,1,Ciutat Vella,1,el Raval,3,1007,52,5
1998-01-01,1,Ciutat Vella,1,el Raval,3,1007,29,6
1998-01-01,1,Ciutat Vella,1,el Raval,3,1007,9,7
1998-01-01,1,Ciutat Vella,1,el Raval,3,1007,5,8
1998-01-01,1,Ciutat Vella,1,el Raval,3,1007,9,9
1998-01-01,1,Ciutat Vella,1,el Raval,4,1008,292,1
1998-01-01,1,Ciutat Vella,1,el Raval,4,1008,234,2
1998-01-01,1,Ciutat Vella,1,el Raval,4,1008,140,3
1998-01-01,1,Ciutat Vella,1,el Raval,4,1008,72,4
1998-01-01,1,Ciutat Vella,1,el Raval,4,1008,42,5
1998-01-01,1,Ciutat Vella,1,el Raval,4,1008,17,6
1998-01-01,1,Ciutat Vella,1,el Raval,4,1008,11,7
1998-01-01,1,Ciutat Vella,1,el Raval,4,1008,9,8
1998-01-01,1,Ciutat Vella,1,el Raval,4,1008,13,9
