Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,N_PERSONES_AGG
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,173,1
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,146,2
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,77,3
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,47,4
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,21,5
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,13,6
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,7
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,1,9
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,202,1
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,141,2
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,66,3
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,42,4
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,21,5
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,11,6
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,4,7
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,2,8
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,6,9
2000-01-01,1,Ciutat Vella,1,el Raval,2,1003,291,1
2000-01-01,1,Ciutat Vella,1,el Raval,2,1003,258,2
2000-01-01,1,Ciutat Vella,1,el Raval,2,1003,169,3
2000-01-01,1,Ciutat Vella,1,el Raval,2,1003,104,4
2000-01-01,1,Ciutat Vella,1,el Raval,2,1003,42,5
2000-01-01,1,Ciutat Vella,1,el Raval,2,1003,22,6
2000-01-01,1,Ciutat Vella,1,el Raval,2,1003,15,7
2000-01-01,1,Ciutat Vella,1,el Raval,2,1003,6,8
2000-01-01,1,Ciutat Vella,1,el Raval,2,1003,6,9
2000-01-01,1,Ciutat Vella,1,el Raval,2,1004,329,1
2000-01-01,1,Ciutat Vella,1,el Raval,2,1004,222,2
2000-01-01,1,Ciutat Vella,1,el Raval,2,1004,129,3
2000-01-01,1,Ciutat Vella,1,el Raval,2,1004,93,4
2000-01-01,1,Ciutat Vella,1,el Raval,2,1004,51,5
2000-01-01,1,Ciutat Vella,1,el Raval,2,1004,24,6
2000-01-01,1,Ciutat Vella,1,el Raval,2,1004,8,7
2000-01-01,1,Ciutat Vella,1,el Raval,2,1004,8,8
2000-01-01,1,Ciutat Vella,1,el Raval,2,1004,10,9
2000-01-01,1,Ciutat Vella,1,el Raval,3,1005,359,1
2000-01-01,1,Ciutat Vella,1,el Raval,3,1005,257,2
2000-01-01,1,Ciutat Vella,1,el Raval,3,1005,137,3
2000-01-01,1,Ciutat Vella,1,el Raval,3,1005,74,4
2000-01-01,1,Ciutat Vella,1,el Raval,3,1005,30,5
2000-01-01,1,Ciutat Vella,1,el Raval,3,1005,22,6
2000-01-01,1,Ciutat Vella,1,el Raval,3,1005,7,7
2000-01-01,1,Ciutat Vella,1,el Raval,3,1005,1,8
2000-01-01,1,Ciutat Vella,1,el Raval,3,1005,11,9
2000-01-01,1,Ciutat Vella,1,el Raval,3,1006,223,1
2000-01-01,1,Ciutat Vella,1,el Raval,3,1006,178,2
2000-01-01,1,Ciutat Vella,1,el Raval,3,1006,106,3
2000-01-01,1,Ciutat Vella,1,el Raval,3,1006,43,4
2000-01-01,1,Ciutat Vella,1,el Raval,3,1006,30,5
2000-01-01,1,Ciutat Vella,1,el Raval,3,1006,17,6
2000-01-01,1,Ciutat Vella,1,el Raval,3,1006,4,7
2000-01-01,1,Ciutat Vella,1,el Raval,3,1006,5,8
2000-01-01,1,Ciutat Vella,1,el Raval,3,1006,6,9
2000-01-01,1,Ciutat Vella,1,el Raval,3,1007,280,1
2000-01-01,1,Ciutat Vella,1,el Raval,3,1007,174,2
2000-01-01,1,Ciutat Vella,1,el Raval,3,1007,95,3
2000-01-01,1,Ciutat Vella,1,el Raval,3,1007,63,4
2000-01-01,1,Ciutat Vella,1,el Raval,3,1007,52,5
2000-01-01,1,Ciutat Vella,1,el Raval,3,1007,21,6
2000-01-01,1,Ciutat Vella,1,el Raval,3,1007,8,7
2000-01-01,1,Ciutat Vella,1,el Raval,3,1007,5,8
2000-01-01,1,Ciutat Vella,1,el Raval,3,1007,8,9
2000-01-01,1,Ciutat Vella,1,el Raval,4,1008,310,1
2000-01-01,1,Ciutat Vella,1,el Raval,4,1008,234,2
2000-01-01,1,Ciutat Vella,1,el Raval,4,1008,137,3
2000-01-01,1,Ciutat Vella,1,el Raval,4,1008,74,4
2000-01-01,1,Ciutat Vella,1,el Raval,4,1008,40,5
2000-01-01,1,Ciutat Vella,1,el Raval,4,1008,18,6
2000-01-01,1,Ciutat Vella,1,el Raval,4,1008,11,7
2000-01-01,1,Ciutat Vella,1,el Raval,4,1008,13,8
2000-01-01,1,Ciutat Vella,1,el Raval,4,1008,11,9
2000-01-01,1,Ciutat Vella,1,el Raval,4,1009,264,1
2000-01-01,1,Ciutat Vella,1,el Raval,4,1009,202,2
2000-01-01,1,Ciutat Vella,1,el Raval,4,1009,116,3
2000-01-01,1,Ciutat Vella,1,el Raval,4,1009,75,4
2000-01-01,1,Ciutat Vella,1,el Raval,4,1009,22,5
2000-01-01,1,Ciutat Vella,1,el Raval,4,1009,8,6
2000-01-01,1,Ciutat Vella,1,el Raval,4,1009,5,7
2000-01-01,1,Ciutat Vella,1,el Raval,4,1009,3,8
2000-01-01,1,Ciutat Vella,1,el Raval,4,1009,2,9
2000-01-01,1,Ciutat Vella,1,el Raval,4,1010,255,1
2000-01-01,1,Ciutat Vella,1,el Raval,4,1010,169,2
2000-01-01,1,Ciutat Vella,1,el Raval,4,1010,96,3
2000-01-01,1,Ciutat Vella,1,el Raval,4,1010,79,4
2000-01-01,1,Ciutat Vella,1,el Raval,4,1010,39,5
2000-01-01,1,Ciutat Vella,1,el Raval,4,1010,13,6
2000-01-01,1,Ciutat Vella,1,el Raval,4,1010,8,7
2000-01-01,1,Ciutat Vella,1,el Raval,4,1010,4,8
2000-01-01,1,Ciutat Vella,1,el Raval,4,1010,9,9
2000-01-01,1,Ciutat Vella,1,el Raval,5,1011,430,1
2000-01-01,1,Ciutat Vella,1,el Raval,5,1011,295,2
2000-01-01,1,Ciutat Vella,1,el Raval,5,1011,128,3
2000-01-01,1,Ciutat Vella,1,el Raval,5,1011,71,4
2000-01-01,1,Ciutat Vella,1,el Raval,5,1011,38,5
2000-01-01,1,Ciutat Vella,1,el Raval,5,1011,16,6
2000-01-01,1,Ciutat Vella,1,el Raval,5,1011,4,7
2000-01-01,1,Ciutat Vella,1,el Raval,5,1011,5,8
2000-01-01,1,Ciutat Vella,1,el Raval,5,1011,4,9
2000-01-01,1,Ciutat Vella,1,el Raval,5,1012,280,1
2000-01-01,1,Ciutat Vella,1,el Raval,5,1012,181,2
2000-01-01,1,Ciutat Vella,1,el Raval,5,1012,118,3
2000-01-01,1,Ciutat Vella,1,el Raval,5,1012,59,4
2000-01-01,1,Ciutat Vella,1,el Raval,5,1012,19,5
2000-01-01,1,Ciutat Vella,1,el Raval,5,1012,8,6
2000-01-01,1,Ciutat Vella,1,el Raval,5,1012,2,7
2000-01-01,1,Ciutat Vella,1,el Raval,5,1012,2,8
2000-01-01,1,Ciutat Vella,1,el Raval,5,1013,152,1
2000-01-01,1,Ciutat Vella,1,el Raval,5,1013,152,2
2000-01-01,1,Ciutat Vella,1,el Raval,5,1013,89,3
2000-01-01,1,Ciutat Vella,1,el Raval,5,1013,64,4
2000-01-01,1,Ciutat Vella,1,el Raval,5,1013,13,5
2000-01-01,1,Ciutat Vella,1,el Raval,5,1013,12,6
2000-01-01,1,Ciutat Vella,1,el Raval,5,1013,2,7
2000-01-01,1,Ciutat Vella,1,el Raval,5,1013,1,8
2000-01-01,1,Ciutat Vella,1,el Raval,5,1013,1,9
2000-01-01,1,Ciutat Vella,1,el Raval,6,1014,187,1
2000-01-01,1,Ciutat Vella,1,el Raval,6,1014,143,2
2000-01-01,1,Ciutat Vella,1,el Raval,6,1014,84,3
2000-01-01,1,Ciutat Vella,1,el Raval,6,1014,67,4
2000-01-01,1,Ciutat Vella,1,el Raval,6,1014,37,5
2000-01-01,1,Ciutat Vella,1,el Raval,6,1014,13,6
2000-01-01,1,Ciutat Vella,1,el Raval,6,1014,6,7
2000-01-01,1,Ciutat Vella,1,el Raval,6,1014,5,8
2000-01-01,1,Ciutat Vella,1,el Raval,6,1014,5,9
2000-01-01,1,Ciutat Vella,1,el Raval,6,1015,262,1
2000-01-01,1,Ciutat Vella,1,el Raval,6,1015,227,2
2000-01-01,1,Ciutat Vella,1,el Raval,6,1015,114,3
2000-01-01,1,Ciutat Vella,1,el Raval,6,1015,58,4
2000-01-01,1,Ciutat Vella,1,el Raval,6,1015,37,5
2000-01-01,1,Ciutat Vella,1,el Raval,6,1015,12,6
2000-01-01,1,Ciutat Vella,1,el Raval,6,1015,4,7
2000-01-01,1,Ciutat Vella,1,el Raval,6,1015,4,8
2000-01-01,1,Ciutat Vella,1,el Raval,6,1015,2,9
2000-01-01,1,Ciutat Vella,1,el Raval,6,1016,258,1
2000-01-01,1,Ciutat Vella,1,el Raval,6,1016,184,2
2000-01-01,1,Ciutat Vella,1,el Raval,6,1016,104,3
2000-01-01,1,Ciutat Vella,1,el Raval,6,1016,53,4
2000-01-01,1,Ciutat Vella,1,el Raval,6,1016,39,5
2000-01-01,1,Ciutat Vella,1,el Raval,6,1016,13,6
2000-01-01,1,Ciutat Vella,1,el Raval,6,1016,7,7
2000-01-01,1,Ciutat Vella,1,el Raval,6,1016,5,8
2000-01-01,1,Ciutat Vella,1,el Raval,6,1016,4,9
2000-01-01,1,Ciutat Vella,1,el Raval,6,1017,324,1
2000-01-01,1,Ciutat Vella,1,el Raval,6,1017,193,2
2000-01-01,1,Ciutat Vella,1,el Raval,6,1017,130,3
2000-01-01,1,Ciutat Vella,1,el Raval,6,1017,69,4
2000-01-01,1,Ciutat Vella,1,el Raval,6,1017,35,5
2000-01-01,1,Ciutat Vella,1,el Raval,6,1017,15,6
2000-01-01,1,Ciutat Vella,1,el Raval,6,1017,10,7
2000-01-01,1,Ciutat Vella,1,el Raval,6,1017,2,8
2000-01-01,1,Ciutat Vella,1,el Raval,6,1017,3,9
2000-01-01,1,Ciutat Vella,1,el Raval,7,1018,196,1
2000-01-01,1,Ciutat Vella,1,el Raval,7,1018,159,2
2000-01-01,1,Ciutat Vella,1,el Raval,7,1018,63,3
2000-01-01,1,Ciutat Vella,1,el Raval,7,1018,37,4
2000-01-01,1,Ciutat Vella,1,el Raval,7,1018,23,5
