Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,EDAT_Q
2011-01-01,1,Ciutat Vella,1,el Raval,1,1001,81,0
2011-01-01,1,Ciutat Vella,1,el Raval,1,1001,54,1
2011-01-01,1,Ciutat Vella,1,el Raval,1,1001,31,2
2011-01-01,1,Ciutat Vella,1,el Raval,1,1001,41,3
2011-01-01,1,Ciutat Vella,1,el Raval,1,1001,101,4
2011-01-01,1,Ciutat Vella,1,el Raval,1,1001,166,5
2011-01-01,1,Ciutat Vella,1,el Raval,1,1001,151,6
2011-01-01,1,Ciutat Vella,1,el Raval,1,1001,137,7
2011-01-01,1,Ciutat Vella,1,el Raval,1,1001,106,8
2011-01-01,1,Ciutat Vella,1,el Raval,1,1001,89,9
2011-01-01,1,Ciutat Vella,1,el Raval,1,1001,58,10
2011-01-01,1,Ciutat Vella,1,el Raval,1,1001,65,11
2011-01-01,1,Ciutat Vella,1,el Raval,1,1001,64,12
2011-01-01,1,Ciutat Vella,1,el Raval,1,1001,56,13
2011-01-01,1,Ciutat Vella,1,el Raval,1,1001,51,14
2011-01-01,1,Ciutat Vella,1,el Raval,1,1001,56,15
2011-01-01,1,Ciutat Vella,1,el Raval,1,1001,37,16
2011-01-01,1,Ciutat Vella,1,el Raval,1,1001,22,17
2011-01-01,1,Ciutat Vella,1,el Raval,1,1001,9,18
2011-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,19
2011-01-01,1,Ciutat Vella,1,el Raval,1,1002,56,0
2011-01-01,1,Ciutat Vella,1,el Raval,1,1002,59,1
2011-01-01,1,Ciutat Vella,1,el Raval,1,1002,60,2
2011-01-01,1,Ciutat Vella,1,el Raval,1,1002,69,3
2011-01-01,1,Ciutat Vella,1,el Raval,1,1002,125,4
2011-01-01,1,Ciutat Vella,1,el Raval,1,1002,170,5
2011-01-01,1,Ciutat Vella,1,el Raval,1,1002,169,6
2011-01-01,1,Ciutat Vella,1,el Raval,1,1002,156,7
2011-01-01,1,Ciutat Vella,1,el Raval,1,1002,117,8
2011-01-01,1,Ciutat Vella,1,el Raval,1,1002,108,9
2011-01-01,1,Ciutat Vella,1,el Raval,1,1002,65,10
2011-01-01,1,Ciutat Vella,1,el Raval,1,1002,59,11
2011-01-01,1,Ciutat Vella,1,el Raval,1,1002,48,12
2011-01-01,1,Ciutat Vella,1,el Raval,1,1002,30,13
2011-01-01,1,Ciutat Vella,1,el Raval,1,1002,57,14
2011-01-01,1,Ciutat Vella,1,el Raval,1,1002,58,15
2011-01-01,1,Ciutat Vella,1,el Raval,1,1002,70,16
2011-01-01,1,Ciutat Vella,1,el Raval,1,1002,34,17
2011-01-01,1,Ciutat Vella,1,el Raval,1,1002,24,18
2011-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,19
2011-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,20
2011-01-01,1,Ciutat Vella,1,el Raval,2,1003,190,0
2011-01-01,1,Ciutat Vella,1,el Raval,2,1003,181,1
2011-01-01,1,Ciutat Vella,1,el Raval,2,1003,145,2
2011-01-01,1,Ciutat Vella,1,el Raval,2,1003,158,3
2011-01-01,1,Ciutat Vella,1,el Raval,2,1003,214,4
2011-01-01,1,Ciutat Vella,1,el Raval,2,1003,314,5
2011-01-01,1,Ciutat Vella,1,el Raval,2,1003,371,6
2011-01-01,1,Ciutat Vella,1,el Raval,2,1003,315,7
2011-01-01,1,Ciutat Vella,1,el Raval,2,1003,242,8
2011-01-01,1,Ciutat Vella,1,el Raval,2,1003,227,9
2011-01-01,1,Ciutat Vella,1,el Raval,2,1003,184,10
2011-01-01,1,Ciutat Vella,1,el Raval,2,1003,121,11
2011-01-01,1,Ciutat Vella,1,el Raval,2,1003,117,12
2011-01-01,1,Ciutat Vella,1,el Raval,2,1003,97,13
2011-01-01,1,Ciutat Vella,1,el Raval,2,1003,105,14
2011-01-01,1,Ciutat Vella,1,el Raval,2,1003,120,15
2011-01-01,1,Ciutat Vella,1,el Raval,2,1003,64,16
2011-01-01,1,Ciutat Vella,1,el Raval,2,1003,56,17
2011-01-01,1,Ciutat Vella,1,el Raval,2,1003,12,18
2011-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,19
2011-01-01,1,Ciutat Vella,1,el Raval,2,1004,143,0
2011-01-01,1,Ciutat Vella,1,el Raval,2,1004,120,1
2011-01-01,1,Ciutat Vella,1,el Raval,2,1004,103,2
2011-01-01,1,Ciutat Vella,1,el Raval,2,1004,111,3
2011-01-01,1,Ciutat Vella,1,el Raval,2,1004,164,4
2011-01-01,1,Ciutat Vella,1,el Raval,2,1004,335,5
2011-01-01,1,Ciutat Vella,1,el Raval,2,1004,337,6
2011-01-01,1,Ciutat Vella,1,el Raval,2,1004,312,7
2011-01-01,1,Ciutat Vella,1,el Raval,2,1004,263,8
2011-01-01,1,Ciutat Vella,1,el Raval,2,1004,214,9
2011-01-01,1,Ciutat Vella,1,el Raval,2,1004,157,10
2011-01-01,1,Ciutat Vella,1,el Raval,2,1004,111,11
2011-01-01,1,Ciutat Vella,1,el Raval,2,1004,110,12
2011-01-01,1,Ciutat Vella,1,el Raval,2,1004,85,13
2011-01-01,1,Ciutat Vella,1,el Raval,2,1004,64,14
2011-01-01,1,Ciutat Vella,1,el Raval,2,1004,81,15
2011-01-01,1,Ciutat Vella,1,el Raval,2,1004,71,16
2011-01-01,1,Ciutat Vella,1,el Raval,2,1004,42,17
2011-01-01,1,Ciutat Vella,1,el Raval,2,1004,11,18
2011-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,19
2011-01-01,1,Ciutat Vella,1,el Raval,3,1005,119,0
2011-01-01,1,Ciutat Vella,1,el Raval,3,1005,91,1
2011-01-01,1,Ciutat Vella,1,el Raval,3,1005,59,2
2011-01-01,1,Ciutat Vella,1,el Raval,3,1005,68,3
2011-01-01,1,Ciutat Vella,1,el Raval,3,1005,143,4
2011-01-01,1,Ciutat Vella,1,el Raval,3,1005,282,5
2011-01-01,1,Ciutat Vella,1,el Raval,3,1005,318,6
2011-01-01,1,Ciutat Vella,1,el Raval,3,1005,296,7
2011-01-01,1,Ciutat Vella,1,el Raval,3,1005,201,8
2011-01-01,1,Ciutat Vella,1,el Raval,3,1005,155,9
2011-01-01,1,Ciutat Vella,1,el Raval,3,1005,123,10
2011-01-01,1,Ciutat Vella,1,el Raval,3,1005,102,11
2011-01-01,1,Ciutat Vella,1,el Raval,3,1005,110,12
