Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NACIONALITAT_G,EDAT_Q,SEXE
2019-01-01,1,Ciutat Vella,1,el Raval,406,1,0,1
2019-01-01,1,Ciutat Vella,1,el Raval,437,1,0,2
2019-01-01,1,Ciutat Vella,1,el Raval,581,1,1,1
2019-01-01,1,Ciutat Vella,1,el Raval,595,1,1,2
2019-01-01,1,Ciutat Vella,1,el Raval,589,1,2,1
2019-01-01,1,Ciutat Vella,1,el Raval,653,1,2,2
2019-01-01,1,Ciutat Vella,1,el Raval,534,1,3,1
2019-01-01,1,Ciutat Vella,1,el Raval,578,1,3,2
2019-01-01,1,Ciutat Vella,1,el Raval,516,1,4,1
2019-01-01,1,Ciutat Vella,1,el Raval,536,1,4,2
2019-01-01,1,Ciutat Vella,1,el Raval,662,1,5,1
2019-01-01,1,Ciutat Vella,1,el Raval,673,1,5,2
2019-01-01,1,Ciutat Vella,1,el Raval,684,1,6,1
2019-01-01,1,Ciutat Vella,1,el Raval,687,1,6,2
2019-01-01,1,Ciutat Vella,1,el Raval,733,1,7,1
2019-01-01,1,Ciutat Vella,1,el Raval,850,1,7,2
2019-01-01,1,Ciutat Vella,1,el Raval,821,1,8,1
2019-01-01,1,Ciutat Vella,1,el Raval,1043,1,8,2
2019-01-01,1,Ciutat Vella,1,el Raval,919,1,9,1
2019-01-01,1,Ciutat Vella,1,el Raval,993,1,9,2
2019-01-01,1,Ciutat Vella,1,el Raval,859,1,10,1
2019-01-01,1,Ciutat Vella,1,el Raval,953,1,10,2
2019-01-01,1,Ciutat Vella,1,el Raval,803,1,11,1
2019-01-01,1,Ciutat Vella,1,el Raval,834,1,11,2
2019-01-01,1,Ciutat Vella,1,el Raval,700,1,12,1
2019-01-01,1,Ciutat Vella,1,el Raval,660,1,12,2
2019-01-01,1,Ciutat Vella,1,el Raval,598,1,13,1
2019-01-01,1,Ciutat Vella,1,el Raval,573,1,13,2
2019-01-01,1,Ciutat Vella,1,el Raval,553,1,14,1
2019-01-01,1,Ciutat Vella,1,el Raval,498,1,14,2
2019-01-01,1,Ciutat Vella,1,el Raval,464,1,15,1
2019-01-01,1,Ciutat Vella,1,el Raval,345,1,15,2
2019-01-01,1,Ciutat Vella,1,el Raval,494,1,16,1
2019-01-01,1,Ciutat Vella,1,el Raval,326,1,16,2
2019-01-01,1,Ciutat Vella,1,el Raval,430,1,17,1
2019-01-01,1,Ciutat Vella,1,el Raval,181,1,17,2
2019-01-01,1,Ciutat Vella,1,el Raval,265,1,18,1
2019-01-01,1,Ciutat Vella,1,el Raval,67,1,18,2
2019-01-01,1,Ciutat Vella,1,el Raval,60,1,19,1
2019-01-01,1,Ciutat Vella,1,el Raval,9,1,19,2
2019-01-01,1,Ciutat Vella,1,el Raval,7,1,20,1
2019-01-01,1,Ciutat Vella,1,el Raval,..,1,20,2
2019-01-01,1,Ciutat Vella,1,el Raval,50,2,0,1
2019-01-01,1,Ciutat Vella,1,el Raval,53,2,0,2
2019-01-01,1,Ciutat Vella,1,el Raval,36,2,1,1
