Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NACIONALITAT_G,EDAT_Q,SEXE
2000-01-01,1,Ciutat Vella,1,el Raval,470,1,0,1
2000-01-01,1,Ciutat Vella,1,el Raval,471,1,0,2
2000-01-01,1,Ciutat Vella,1,el Raval,472,1,1,1
2000-01-01,1,Ciutat Vella,1,el Raval,482,1,1,2
2000-01-01,1,Ciutat Vella,1,el Raval,467,1,2,1
2000-01-01,1,Ciutat Vella,1,el Raval,474,1,2,2
2000-01-01,1,Ciutat Vella,1,el Raval,520,1,3,1
2000-01-01,1,Ciutat Vella,1,el Raval,541,1,3,2
2000-01-01,1,Ciutat Vella,1,el Raval,840,1,4,1
2000-01-01,1,Ciutat Vella,1,el Raval,844,1,4,2
2000-01-01,1,Ciutat Vella,1,el Raval,1030,1,5,1
2000-01-01,1,Ciutat Vella,1,el Raval,1010,1,5,2
2000-01-01,1,Ciutat Vella,1,el Raval,1004,1,6,1
2000-01-01,1,Ciutat Vella,1,el Raval,1075,1,6,2
2000-01-01,1,Ciutat Vella,1,el Raval,914,1,7,1
2000-01-01,1,Ciutat Vella,1,el Raval,999,1,7,2
2000-01-01,1,Ciutat Vella,1,el Raval,892,1,8,1
2000-01-01,1,Ciutat Vella,1,el Raval,897,1,8,2
2000-01-01,1,Ciutat Vella,1,el Raval,733,1,9,1
2000-01-01,1,Ciutat Vella,1,el Raval,876,1,9,2
2000-01-01,1,Ciutat Vella,1,el Raval,870,1,10,1
2000-01-01,1,Ciutat Vella,1,el Raval,976,1,10,2
2000-01-01,1,Ciutat Vella,1,el Raval,786,1,11,1
2000-01-01,1,Ciutat Vella,1,el Raval,980,1,11,2
2000-01-01,1,Ciutat Vella,1,el Raval,965,1,12,1
2000-01-01,1,Ciutat Vella,1,el Raval,994,1,12,2
2000-01-01,1,Ciutat Vella,1,el Raval,1221,1,13,1
2000-01-01,1,Ciutat Vella,1,el Raval,1093,1,13,2
2000-01-01,1,Ciutat Vella,1,el Raval,1434,1,14,1
2000-01-01,1,Ciutat Vella,1,el Raval,946,1,14,2
2000-01-01,1,Ciutat Vella,1,el Raval,1354,1,15,1
2000-01-01,1,Ciutat Vella,1,el Raval,707,1,15,2
2000-01-01,1,Ciutat Vella,1,el Raval,946,1,16,1
2000-01-01,1,Ciutat Vella,1,el Raval,359,1,16,2
2000-01-01,1,Ciutat Vella,1,el Raval,580,1,17,1
2000-01-01,1,Ciutat Vella,1,el Raval,205,1,17,2
2000-01-01,1,Ciutat Vella,1,el Raval,217,1,18,1
2000-01-01,1,Ciutat Vella,1,el Raval,47,1,18,2
2000-01-01,1,Ciutat Vella,1,el Raval,55,1,19,1
2000-01-01,1,Ciutat Vella,1,el Raval,12,1,19,2
2000-01-01,1,Ciutat Vella,1,el Raval,..,1,20,1
2000-01-01,1,Ciutat Vella,1,el Raval,6,2,0,1
