Nom: Taxa d'atur registral
ID: 1955
Descripció: Relació existent entre l'atur registrat i una aproximació a la població activa registrada (calculada com a suma de l'atur registrat i les afiliacions a la Seguretat Social de la població de 16 a 64 anys resident en el territori considerat).
Unitats: tant per cent
Font: Diputació de Barcelona i Generalitat de Catalunya, Observatori del Treball i Model Productiu
Nota: Les dades de l'AMB provenen de la Diputació de Barcelona que les calculat en col·laboració amb la Xarxa d'Observatoris del Desenvolupament Econòmic Local, a partir de la Taxa d'atur registral i els aturats registrats del Departament d'Empresa i Coneixement, i la Mostra de Vides Laborals de la Seguretat Social.
Última actualització: 04-04-2024

Nom Àmbit;2020;2021;2022;2023
Catalunya;13,7;10,2;9,4;9,2
AMB;12,6;9,3;8,9;9,0
Barcelona;12,2;8,4;7,9;7,9
