Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,EDAT_Q
2003-01-01,1,Ciutat Vella,1,el Raval,1,1001,36,0
2003-01-01,1,Ciutat Vella,1,el Raval,1,1001,29,1
2003-01-01,1,Ciutat Vella,1,el Raval,1,1001,29,2
2003-01-01,1,Ciutat Vella,1,el Raval,1,1001,38,3
2003-01-01,1,Ciutat Vella,1,el Raval,1,1001,70,4
2003-01-01,1,Ciutat Vella,1,el Raval,1,1001,121,5
2003-01-01,1,Ciutat Vella,1,el Raval,1,1001,134,6
2003-01-01,1,Ciutat Vella,1,el Raval,1,1001,120,7
2003-01-01,1,Ciutat Vella,1,el Raval,1,1001,81,8
2003-01-01,1,Ciutat Vella,1,el Raval,1,1001,85,9
2003-01-01,1,Ciutat Vella,1,el Raval,1,1001,97,10
2003-01-01,1,Ciutat Vella,1,el Raval,1,1001,64,11
2003-01-01,1,Ciutat Vella,1,el Raval,1,1001,71,12
2003-01-01,1,Ciutat Vella,1,el Raval,1,1001,67,13
2003-01-01,1,Ciutat Vella,1,el Raval,1,1001,72,14
2003-01-01,1,Ciutat Vella,1,el Raval,1,1001,68,15
2003-01-01,1,Ciutat Vella,1,el Raval,1,1001,32,16
2003-01-01,1,Ciutat Vella,1,el Raval,1,1001,20,17
2003-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,18
2003-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,19
2003-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,20
2003-01-01,1,Ciutat Vella,1,el Raval,1,1002,70,0
2003-01-01,1,Ciutat Vella,1,el Raval,1,1002,36,1
2003-01-01,1,Ciutat Vella,1,el Raval,1,1002,54,2
2003-01-01,1,Ciutat Vella,1,el Raval,1,1002,51,3
2003-01-01,1,Ciutat Vella,1,el Raval,1,1002,137,4
2003-01-01,1,Ciutat Vella,1,el Raval,1,1002,231,5
2003-01-01,1,Ciutat Vella,1,el Raval,1,1002,193,6
2003-01-01,1,Ciutat Vella,1,el Raval,1,1002,142,7
2003-01-01,1,Ciutat Vella,1,el Raval,1,1002,112,8
2003-01-01,1,Ciutat Vella,1,el Raval,1,1002,92,9
2003-01-01,1,Ciutat Vella,1,el Raval,1,1002,64,10
2003-01-01,1,Ciutat Vella,1,el Raval,1,1002,53,11
2003-01-01,1,Ciutat Vella,1,el Raval,1,1002,46,12
2003-01-01,1,Ciutat Vella,1,el Raval,1,1002,71,13
2003-01-01,1,Ciutat Vella,1,el Raval,1,1002,86,14
2003-01-01,1,Ciutat Vella,1,el Raval,1,1002,76,15
2003-01-01,1,Ciutat Vella,1,el Raval,1,1002,59,16
2003-01-01,1,Ciutat Vella,1,el Raval,1,1002,26,17
