Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,EDAT_Q
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,60,0
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,50,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,47,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,35,3
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,84,4
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,133,5
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,188,6
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,146,7
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,98,8
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,93,9
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,67,10
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,47,11
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,57,12
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,53,13
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,49,14
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,41,15
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,47,16
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,18,17
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,18
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,19
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,66,0
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,49,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,51,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,76,3
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,113,4
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,176,5
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,173,6
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,168,7
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,130,8
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,103,9
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,81,10
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,63,11
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,58,12
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,35,13
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,33,14
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,39,15
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,45,16
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,42,17
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,17,18
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,8,19
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,20
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,216,0
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,226,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,193,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,151,3
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,201,4
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,297,5
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,328,6
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,323,7
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,278,8
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,223,9
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,195,10
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,163,11
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,102,12
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,123,13
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,88,14
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,80,15
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,89,16
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,41,17
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,23,18
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,132,0
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,128,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,121,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,121,3
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,189,4
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,267,5
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,332,6
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,311,7
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,268,8
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,202,9
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,173,10
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,125,11
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,93,12
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,85,13
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,80,14
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,46,15
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,56,16
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,43,17
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,11,18
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,19
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,110,0
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,96,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,82,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,78,3
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,127,4
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,251,5
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,292,6
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,267,7
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,249,8
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,180,9
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,133,10
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,118,11
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,109,12
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,90,13
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,85,14
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,69,15
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,70,16
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,36,17
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,17,18
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,19
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,51,0
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,44,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,50,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,56,3
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,98,4
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,167,5
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,208,6
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,180,7
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,140,8
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,135,9
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,88,10
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,76,11
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,65,12
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,48,13
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,36,14
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,46,15
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,32,16
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,29,17
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,11,18
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,108,0
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,87,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,61,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,70,3
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,140,4
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,214,5
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,241,6
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,261,7
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,251,8
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,185,9
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,118,10
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,87,11
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,68,12
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,48,13
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,39,14
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,21,15
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,25,16
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,12,17
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,6,18
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,19
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,190,0
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,134,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,137,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,168,3
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,256,4
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,325,5
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,376,6
