Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,EDAT_Q
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,34,0
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,32,1
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,29,2
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,39,3
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,65,4
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,115,5
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,99,6
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,82,7
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,60,8
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,77,9
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,83,10
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,76,11
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,73,12
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,83,13
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,78,14
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,57,15
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,38,16
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,16,17
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,9,18
2000-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,19
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,42,0
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,40,1
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,44,2
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,57,3
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,58,4
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,84,5
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,83,6
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,64,7
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,77,8
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,62,9
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,58,10
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,60,11
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,61,12
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,82,13
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,96,14
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,90,15
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,45,16
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,46,17
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,15,18
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,5,19
2000-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,20
2000-01-01,1,Ciutat Vella,1,el Raval,2,1003,107,0
2000-01-01,1,Ciutat Vella,1,el Raval,2,1003,61,1
2000-01-01,1,Ciutat Vella,1,el Raval,2,1003,80,2
2000-01-01,1,Ciutat Vella,1,el Raval,2,1003,105,3
2000-01-01,1,Ciutat Vella,1,el Raval,2,1003,156,4
2000-01-01,1,Ciutat Vella,1,el Raval,2,1003,186,5
2000-01-01,1,Ciutat Vella,1,el Raval,2,1003,202,6
2000-01-01,1,Ciutat Vella,1,el Raval,2,1003,177,7
2000-01-01,1,Ciutat Vella,1,el Raval,2,1003,155,8
