Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NACIONALITAT_G,EDAT_Q,SEXE
1997-01-01,1,Ciutat Vella,1,el Raval,508,1,0,1
1997-01-01,1,Ciutat Vella,1,el Raval,484,1,0,2
1997-01-01,1,Ciutat Vella,1,el Raval,487,1,1,1
1997-01-01,1,Ciutat Vella,1,el Raval,487,1,1,2
1997-01-01,1,Ciutat Vella,1,el Raval,475,1,2,1
1997-01-01,1,Ciutat Vella,1,el Raval,517,1,2,2
1997-01-01,1,Ciutat Vella,1,el Raval,650,1,3,1
1997-01-01,1,Ciutat Vella,1,el Raval,730,1,3,2
1997-01-01,1,Ciutat Vella,1,el Raval,922,1,4,1
1997-01-01,1,Ciutat Vella,1,el Raval,945,1,4,2
1997-01-01,1,Ciutat Vella,1,el Raval,1054,1,5,1
1997-01-01,1,Ciutat Vella,1,el Raval,1105,1,5,2
1997-01-01,1,Ciutat Vella,1,el Raval,954,1,6,1
1997-01-01,1,Ciutat Vella,1,el Raval,1046,1,6,2
1997-01-01,1,Ciutat Vella,1,el Raval,900,1,7,1
1997-01-01,1,Ciutat Vella,1,el Raval,916,1,7,2
1997-01-01,1,Ciutat Vella,1,el Raval,757,1,8,1
1997-01-01,1,Ciutat Vella,1,el Raval,855,1,8,2
1997-01-01,1,Ciutat Vella,1,el Raval,800,1,9,1
1997-01-01,1,Ciutat Vella,1,el Raval,850,1,9,2
1997-01-01,1,Ciutat Vella,1,el Raval,793,1,10,1
1997-01-01,1,Ciutat Vella,1,el Raval,947,1,10,2
1997-01-01,1,Ciutat Vella,1,el Raval,876,1,11,1
1997-01-01,1,Ciutat Vella,1,el Raval,986,1,11,2
1997-01-01,1,Ciutat Vella,1,el Raval,1234,1,12,1
1997-01-01,1,Ciutat Vella,1,el Raval,1199,1,12,2
1997-01-01,1,Ciutat Vella,1,el Raval,1469,1,13,1
1997-01-01,1,Ciutat Vella,1,el Raval,1115,1,13,2
1997-01-01,1,Ciutat Vella,1,el Raval,1578,1,14,1
1997-01-01,1,Ciutat Vella,1,el Raval,1000,1,14,2
1997-01-01,1,Ciutat Vella,1,el Raval,1372,1,15,1
1997-01-01,1,Ciutat Vella,1,el Raval,666,1,15,2
1997-01-01,1,Ciutat Vella,1,el Raval,995,1,16,1
1997-01-01,1,Ciutat Vella,1,el Raval,400,1,16,2
1997-01-01,1,Ciutat Vella,1,el Raval,544,1,17,1
1997-01-01,1,Ciutat Vella,1,el Raval,191,1,17,2
1997-01-01,1,Ciutat Vella,1,el Raval,206,1,18,1
1997-01-01,1,Ciutat Vella,1,el Raval,46,1,18,2
1997-01-01,1,Ciutat Vella,1,el Raval,42,1,19,1
1997-01-01,1,Ciutat Vella,1,el Raval,8,1,19,2
1997-01-01,1,Ciutat Vella,1,el Raval,5,1,20,1
1997-01-01,1,Ciutat Vella,1,el Raval,..,1,20,2
1997-01-01,1,Ciutat Vella,1,el Raval,..,1,21,1
1997-01-01,1,Ciutat Vella,1,el Raval,..,1,21,2
