Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NACIONALITAT_G,EDAT_Q,SEXE
2013-01-01,1,Ciutat Vella,1,el Raval,498,1,0,1
2013-01-01,1,Ciutat Vella,1,el Raval,499,1,0,2
2013-01-01,1,Ciutat Vella,1,el Raval,551,1,1,1
2013-01-01,1,Ciutat Vella,1,el Raval,601,1,1,2
2013-01-01,1,Ciutat Vella,1,el Raval,479,1,2,1
2013-01-01,1,Ciutat Vella,1,el Raval,492,1,2,2
2013-01-01,1,Ciutat Vella,1,el Raval,436,1,3,1
2013-01-01,1,Ciutat Vella,1,el Raval,479,1,3,2
2013-01-01,1,Ciutat Vella,1,el Raval,449,1,4,1
2013-01-01,1,Ciutat Vella,1,el Raval,467,1,4,2
2013-01-01,1,Ciutat Vella,1,el Raval,701,1,5,1
2013-01-01,1,Ciutat Vella,1,el Raval,661,1,5,2
2013-01-01,1,Ciutat Vella,1,el Raval,874,1,6,1
2013-01-01,1,Ciutat Vella,1,el Raval,895,1,6,2
2013-01-01,1,Ciutat Vella,1,el Raval,979,1,7,1
2013-01-01,1,Ciutat Vella,1,el Raval,1085,1,7,2
2013-01-01,1,Ciutat Vella,1,el Raval,931,1,8,1
2013-01-01,1,Ciutat Vella,1,el Raval,996,1,8,2
2013-01-01,1,Ciutat Vella,1,el Raval,907,1,9,1
2013-01-01,1,Ciutat Vella,1,el Raval,1006,1,9,2
2013-01-01,1,Ciutat Vella,1,el Raval,860,1,10,1
2013-01-01,1,Ciutat Vella,1,el Raval,853,1,10,2
2013-01-01,1,Ciutat Vella,1,el Raval,746,1,11,1
2013-01-01,1,Ciutat Vella,1,el Raval,736,1,11,2
2013-01-01,1,Ciutat Vella,1,el Raval,681,1,12,1
2013-01-01,1,Ciutat Vella,1,el Raval,694,1,12,2
2013-01-01,1,Ciutat Vella,1,el Raval,663,1,13,1
2013-01-01,1,Ciutat Vella,1,el Raval,654,1,13,2
2013-01-01,1,Ciutat Vella,1,el Raval,586,1,14,1
2013-01-01,1,Ciutat Vella,1,el Raval,506,1,14,2
2013-01-01,1,Ciutat Vella,1,el Raval,720,1,15,1
2013-01-01,1,Ciutat Vella,1,el Raval,553,1,15,2
2013-01-01,1,Ciutat Vella,1,el Raval,718,1,16,1
2013-01-01,1,Ciutat Vella,1,el Raval,339,1,16,2
2013-01-01,1,Ciutat Vella,1,el Raval,522,1,17,1
2013-01-01,1,Ciutat Vella,1,el Raval,197,1,17,2
2013-01-01,1,Ciutat Vella,1,el Raval,226,1,18,1
2013-01-01,1,Ciutat Vella,1,el Raval,51,1,18,2
2013-01-01,1,Ciutat Vella,1,el Raval,38,1,19,1
2013-01-01,1,Ciutat Vella,1,el Raval,9,1,19,2
2013-01-01,1,Ciutat Vella,1,el Raval,12,1,20,1
2013-01-01,1,Ciutat Vella,1,el Raval,49,2,0,1
2013-01-01,1,Ciutat Vella,1,el Raval,51,2,0,2
2013-01-01,1,Ciutat Vella,1,el Raval,35,2,1,1
2013-01-01,1,Ciutat Vella,1,el Raval,18,2,1,2
2013-01-01,1,Ciutat Vella,1,el Raval,25,2,2,1
2013-01-01,1,Ciutat Vella,1,el Raval,22,2,2,2
2013-01-01,1,Ciutat Vella,1,el Raval,26,2,3,1
2013-01-01,1,Ciutat Vella,1,el Raval,12,2,3,2
2013-01-01,1,Ciutat Vella,1,el Raval,292,2,4,1
2013-01-01,1,Ciutat Vella,1,el Raval,152,2,4,2
2013-01-01,1,Ciutat Vella,1,el Raval,536,2,5,1
2013-01-01,1,Ciutat Vella,1,el Raval,470,2,5,2
2013-01-01,1,Ciutat Vella,1,el Raval,518,2,6,1
2013-01-01,1,Ciutat Vella,1,el Raval,490,2,6,2
2013-01-01,1,Ciutat Vella,1,el Raval,258,2,7,1
2013-01-01,1,Ciutat Vella,1,el Raval,379,2,7,2
2013-01-01,1,Ciutat Vella,1,el Raval,128,2,8,1
2013-01-01,1,Ciutat Vella,1,el Raval,204,2,8,2
2013-01-01,1,Ciutat Vella,1,el Raval,83,2,9,1
2013-01-01,1,Ciutat Vella,1,el Raval,129,2,9,2
2013-01-01,1,Ciutat Vella,1,el Raval,52,2,10,1
2013-01-01,1,Ciutat Vella,1,el Raval,91,2,10,2
2013-01-01,1,Ciutat Vella,1,el Raval,39,2,11,1
2013-01-01,1,Ciutat Vella,1,el Raval,67,2,11,2
2013-01-01,1,Ciutat Vella,1,el Raval,26,2,12,1
2013-01-01,1,Ciutat Vella,1,el Raval,20,2,12,2
2013-01-01,1,Ciutat Vella,1,el Raval,9,2,13,1
2013-01-01,1,Ciutat Vella,1,el Raval,21,2,13,2
2013-01-01,1,Ciutat Vella,1,el Raval,8,2,14,1
2013-01-01,1,Ciutat Vella,1,el Raval,9,2,14,2
2013-01-01,1,Ciutat Vella,1,el Raval,..,2,16,1
2013-01-01,1,Ciutat Vella,1,el Raval,..,2,16,2
2013-01-01,1,Ciutat Vella,1,el Raval,5,2,17,1
2013-01-01,1,Ciutat Vella,1,el Raval,..,2,17,2
2013-01-01,1,Ciutat Vella,1,el Raval,..,2,18,1
2013-01-01,1,Ciutat Vella,1,el Raval,..,2,18,2
2013-01-01,1,Ciutat Vella,1,el Raval,557,3,0,1
2013-01-01,1,Ciutat Vella,1,el Raval,687,3,0,2
2013-01-01,1,Ciutat Vella,1,el Raval,332,3,1,1
2013-01-01,1,Ciutat Vella,1,el Raval,367,3,1,2
2013-01-01,1,Ciutat Vella,1,el Raval,310,3,2,1
2013-01-01,1,Ciutat Vella,1,el Raval,408,3,2,2
2013-01-01,1,Ciutat Vella,1,el Raval,355,3,3,1
2013-01-01,1,Ciutat Vella,1,el Raval,566,3,3,2
2013-01-01,1,Ciutat Vella,1,el Raval,661,3,4,1
2013-01-01,1,Ciutat Vella,1,el Raval,1272,3,4,2
2013-01-01,1,Ciutat Vella,1,el Raval,958,3,5,1
2013-01-01,1,Ciutat Vella,1,el Raval,1693,3,5,2
2013-01-01,1,Ciutat Vella,1,el Raval,1107,3,6,1
2013-01-01,1,Ciutat Vella,1,el Raval,2259,3,6,2
2013-01-01,1,Ciutat Vella,1,el Raval,899,3,7,1
2013-01-01,1,Ciutat Vella,1,el Raval,1977,3,7,2
2013-01-01,1,Ciutat Vella,1,el Raval,780,3,8,1
2013-01-01,1,Ciutat Vella,1,el Raval,1494,3,8,2
2013-01-01,1,Ciutat Vella,1,el Raval,527,3,9,1
2013-01-01,1,Ciutat Vella,1,el Raval,914,3,9,2
2013-01-01,1,Ciutat Vella,1,el Raval,392,3,10,1
2013-01-01,1,Ciutat Vella,1,el Raval,552,3,10,2
2013-01-01,1,Ciutat Vella,1,el Raval,201,3,11,1
2013-01-01,1,Ciutat Vella,1,el Raval,329,3,11,2
2013-01-01,1,Ciutat Vella,1,el Raval,116,3,12,1
2013-01-01,1,Ciutat Vella,1,el Raval,139,3,12,2
2013-01-01,1,Ciutat Vella,1,el Raval,85,3,13,1
2013-01-01,1,Ciutat Vella,1,el Raval,59,3,13,2
2013-01-01,1,Ciutat Vella,1,el Raval,70,3,14,1
2013-01-01,1,Ciutat Vella,1,el Raval,39,3,14,2
2013-01-01,1,Ciutat Vella,1,el Raval,32,3,15,1
2013-01-01,1,Ciutat Vella,1,el Raval,17,3,15,2
2013-01-01,1,Ciutat Vella,1,el Raval,6,3,16,1
2013-01-01,1,Ciutat Vella,1,el Raval,..,3,16,2
2013-01-01,1,Ciutat Vella,1,el Raval,5,3,17,1
2013-01-01,1,Ciutat Vella,1,el Raval,7,3,17,2
2013-01-01,1,Ciutat Vella,1,el Raval,..,3,18,1
2013-01-01,1,Ciutat Vella,1,el Raval,..,4,1,1
2013-01-01,1,Ciutat Vella,1,el Raval,..,4,4,1
2013-01-01,1,Ciutat Vella,1,el Raval,..,4,5,1
2013-01-01,1,Ciutat Vella,1,el Raval,..,4,5,2
2013-01-01,1,Ciutat Vella,1,el Raval,..,4,6,1
2013-01-01,1,Ciutat Vella,1,el Raval,..,4,6,2
2013-01-01,1,Ciutat Vella,1,el Raval,..,4,7,1
2013-01-01,1,Ciutat Vella,1,el Raval,..,4,7,2
2013-01-01,1,Ciutat Vella,1,el Raval,..,4,8,2
2013-01-01,1,Ciutat Vella,1,el Raval,..,4,11,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,128,1,0,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,158,1,0,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,189,1,1,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,187,1,1,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,150,1,2,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,152,1,2,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,145,1,3,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,124,1,3,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,168,1,4,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,180,1,4,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,294,1,5,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,284,1,5,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,369,1,6,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,388,1,6,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,392,1,7,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,452,1,7,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,368,1,8,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,446,1,8,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,346,1,9,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,428,1,9,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,369,1,10,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,401,1,10,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,302,1,11,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,356,1,11,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,283,1,12,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,318,1,12,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,257,1,13,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,288,1,13,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,214,1,14,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,199,1,14,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,256,1,15,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,207,1,15,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,248,1,16,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,162,1,16,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,232,1,17,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,83,1,17,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,105,1,18,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,35,1,18,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,24,1,19,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,5,1,19,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1,20,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,1,20,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,27,2,0,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,38,2,0,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,21,2,1,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,25,2,1,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,18,2,2,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,16,2,2,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,15,2,3,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,13,2,3,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,165,2,4,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,101,2,4,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,372,2,5,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,302,2,5,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,322,2,6,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,329,2,6,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,160,2,7,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,243,2,7,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,100,2,8,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,146,2,8,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,52,2,9,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,109,2,9,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,34,2,10,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,55,2,10,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,28,2,11,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,43,2,11,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,17,2,12,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,35,2,12,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,2,13,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,15,2,13,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,2,14,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,2,14,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,2,15,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,2,15,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,2,16,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,5,2,16,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,2,18,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,61,3,0,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,81,3,0,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,41,3,1,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,40,3,1,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,29,3,2,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,34,3,2,2
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,28,3,3,1
2013-01-01,1,Ciutat Vella,2,el Barri Gòtic,61,3,3,2
