Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NACIONALITAT_G,EDAT_Q,SEXE
2020-01-01,1,Ciutat Vella,1,el Raval,395,1,0,1
2020-01-01,1,Ciutat Vella,1,el Raval,407,1,0,2
2020-01-01,1,Ciutat Vella,1,el Raval,551,1,1,1
2020-01-01,1,Ciutat Vella,1,el Raval,557,1,1,2
2020-01-01,1,Ciutat Vella,1,el Raval,593,1,2,1
2020-01-01,1,Ciutat Vella,1,el Raval,689,1,2,2
2020-01-01,1,Ciutat Vella,1,el Raval,519,1,3,1
2020-01-01,1,Ciutat Vella,1,el Raval,578,1,3,2
2020-01-01,1,Ciutat Vella,1,el Raval,534,1,4,1
2020-01-01,1,Ciutat Vella,1,el Raval,542,1,4,2
2020-01-01,1,Ciutat Vella,1,el Raval,629,1,5,1
2020-01-01,1,Ciutat Vella,1,el Raval,656,1,5,2
2020-01-01,1,Ciutat Vella,1,el Raval,666,1,6,1
2020-01-01,1,Ciutat Vella,1,el Raval,697,1,6,2
2020-01-01,1,Ciutat Vella,1,el Raval,653,1,7,1
2020-01-01,1,Ciutat Vella,1,el Raval,789,1,7,2
2020-01-01,1,Ciutat Vella,1,el Raval,780,1,8,1
2020-01-01,1,Ciutat Vella,1,el Raval,970,1,8,2
2020-01-01,1,Ciutat Vella,1,el Raval,898,1,9,1
2020-01-01,1,Ciutat Vella,1,el Raval,971,1,9,2
2020-01-01,1,Ciutat Vella,1,el Raval,855,1,10,1
2020-01-01,1,Ciutat Vella,1,el Raval,972,1,10,2
2020-01-01,1,Ciutat Vella,1,el Raval,787,1,11,1
2020-01-01,1,Ciutat Vella,1,el Raval,817,1,11,2
2020-01-01,1,Ciutat Vella,1,el Raval,722,1,12,1
2020-01-01,1,Ciutat Vella,1,el Raval,684,1,12,2
2020-01-01,1,Ciutat Vella,1,el Raval,595,1,13,1
2020-01-01,1,Ciutat Vella,1,el Raval,550,1,13,2
2020-01-01,1,Ciutat Vella,1,el Raval,552,1,14,1
2020-01-01,1,Ciutat Vella,1,el Raval,479,1,14,2
2020-01-01,1,Ciutat Vella,1,el Raval,466,1,15,1
2020-01-01,1,Ciutat Vella,1,el Raval,377,1,15,2
2020-01-01,1,Ciutat Vella,1,el Raval,439,1,16,1
2020-01-01,1,Ciutat Vella,1,el Raval,298,1,16,2
2020-01-01,1,Ciutat Vella,1,el Raval,405,1,17,1
2020-01-01,1,Ciutat Vella,1,el Raval,182,1,17,2
2020-01-01,1,Ciutat Vella,1,el Raval,261,1,18,1
2020-01-01,1,Ciutat Vella,1,el Raval,62,1,18,2
2020-01-01,1,Ciutat Vella,1,el Raval,59,1,19,1
2020-01-01,1,Ciutat Vella,1,el Raval,14,1,19,2
2020-01-01,1,Ciutat Vella,1,el Raval,9,1,20,1
2020-01-01,1,Ciutat Vella,1,el Raval,..,1,20,2
2020-01-01,1,Ciutat Vella,1,el Raval,53,2,0,1
2020-01-01,1,Ciutat Vella,1,el Raval,63,2,0,2
2020-01-01,1,Ciutat Vella,1,el Raval,42,2,1,1
2020-01-01,1,Ciutat Vella,1,el Raval,40,2,1,2
2020-01-01,1,Ciutat Vella,1,el Raval,27,2,2,1
2020-01-01,1,Ciutat Vella,1,el Raval,20,2,2,2
2020-01-01,1,Ciutat Vella,1,el Raval,39,2,3,1
2020-01-01,1,Ciutat Vella,1,el Raval,24,2,3,2
2020-01-01,1,Ciutat Vella,1,el Raval,256,2,4,1
2020-01-01,1,Ciutat Vella,1,el Raval,210,2,4,2
2020-01-01,1,Ciutat Vella,1,el Raval,757,2,5,1
2020-01-01,1,Ciutat Vella,1,el Raval,679,2,5,2
2020-01-01,1,Ciutat Vella,1,el Raval,588,2,6,1
2020-01-01,1,Ciutat Vella,1,el Raval,651,2,6,2
2020-01-01,1,Ciutat Vella,1,el Raval,351,2,7,1
2020-01-01,1,Ciutat Vella,1,el Raval,495,2,7,2
2020-01-01,1,Ciutat Vella,1,el Raval,197,2,8,1
2020-01-01,1,Ciutat Vella,1,el Raval,297,2,8,2
2020-01-01,1,Ciutat Vella,1,el Raval,116,2,9,1
2020-01-01,1,Ciutat Vella,1,el Raval,194,2,9,2
2020-01-01,1,Ciutat Vella,1,el Raval,61,2,10,1
2020-01-01,1,Ciutat Vella,1,el Raval,120,2,10,2
2020-01-01,1,Ciutat Vella,1,el Raval,52,2,11,1
2020-01-01,1,Ciutat Vella,1,el Raval,78,2,11,2
2020-01-01,1,Ciutat Vella,1,el Raval,33,2,12,1
2020-01-01,1,Ciutat Vella,1,el Raval,51,2,12,2
2020-01-01,1,Ciutat Vella,1,el Raval,25,2,13,1
