Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_00_18
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,420,1
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,58,2
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,22,3
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,2,4
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,2,5
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,435,1
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,62,2
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,27,3
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,12,4
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,5,5
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,786,1
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,124,2
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,54,3
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,23,4
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,10,5
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,791,1
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,124,2
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,68,3
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,24,4
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,15,5
2002-01-01,1,Ciutat Vella,1,el Raval,3,1005,773,1
2002-01-01,1,Ciutat Vella,1,el Raval,3,1005,98,2
2002-01-01,1,Ciutat Vella,1,el Raval,3,1005,29,3
2002-01-01,1,Ciutat Vella,1,el Raval,3,1005,10,4
2002-01-01,1,Ciutat Vella,1,el Raval,3,1005,6,5
2002-01-01,1,Ciutat Vella,1,el Raval,3,1006,558,1
2002-01-01,1,Ciutat Vella,1,el Raval,3,1006,58,2
2002-01-01,1,Ciutat Vella,1,el Raval,3,1006,31,3
