Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_00_18
2008-01-01,1,Ciutat Vella,1,el Raval,6,1017,679,1
2008-01-01,1,Ciutat Vella,1,el Raval,6,1017,104,2
2008-01-01,1,Ciutat Vella,1,el Raval,6,1017,57,3
2008-01-01,1,Ciutat Vella,1,el Raval,6,1017,26,4
2008-01-01,1,Ciutat Vella,1,el Raval,6,1017,13,5
2008-01-01,1,Ciutat Vella,1,el Raval,7,1018,442,1
2008-01-01,1,Ciutat Vella,1,el Raval,7,1018,46,2
2008-01-01,1,Ciutat Vella,1,el Raval,7,1018,39,3
2008-01-01,1,Ciutat Vella,1,el Raval,7,1018,11,4
2008-01-01,1,Ciutat Vella,1,el Raval,7,1018,8,5
2008-01-01,1,Ciutat Vella,1,el Raval,7,1019,911,1
2008-01-01,1,Ciutat Vella,1,el Raval,7,1019,123,2
2008-01-01,1,Ciutat Vella,1,el Raval,7,1019,52,3
2008-01-01,1,Ciutat Vella,1,el Raval,7,1019,16,4
2008-01-01,1,Ciutat Vella,1,el Raval,7,1019,12,5
2008-01-01,1,Ciutat Vella,1,el Raval,7,1020,800,1
2008-01-01,1,Ciutat Vella,1,el Raval,7,1020,69,2
2008-01-01,1,Ciutat Vella,1,el Raval,7,1020,48,3
2008-01-01,1,Ciutat Vella,1,el Raval,7,1020,10,4
2008-01-01,1,Ciutat Vella,1,el Raval,7,1020,1,5
2008-01-01,1,Ciutat Vella,1,el Raval,8,1021,793,1
2008-01-01,1,Ciutat Vella,1,el Raval,8,1021,81,2
2008-01-01,1,Ciutat Vella,1,el Raval,8,1021,37,3
2008-01-01,1,Ciutat Vella,1,el Raval,8,1021,6,4
2008-01-01,1,Ciutat Vella,1,el Raval,8,1021,3,5
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,494,1
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,47,2
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,21,3
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,5,4
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,1,5
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,796,1
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,77,2
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,49,3
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,8,4
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,2,5
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,528,1
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,50,2
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,19,3
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,3,4
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,546,1
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,61,2
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,35,3
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,6,4
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,6,5
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,610,1
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,63,2
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,33,3
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,3,4
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,3,5
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,722,1
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,76,2
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,34,3
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,7,4
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,3,5
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,516,1
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,53,2
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,29,3
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,3,4
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,2,5
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,842,1
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,106,2
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,58,3
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,14,4
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,8,5
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,580,1
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,75,2
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,28,3
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,6,4
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,2,5
2008-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,806,1
2008-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,89,2
2008-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,40,3
2008-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,11,4
2008-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,3,5
2008-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,429,1
2008-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,69,2
2008-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,35,3
2008-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,7,4
2008-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,2,5
2008-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,416,1
2008-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,67,2
2008-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,26,3
2008-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,6,4
2008-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,3,5
2008-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,516,1
2008-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,75,2
2008-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,30,3
2008-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,9,4
2008-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,5,5
2008-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,396,1
2008-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,70,2
