Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_00_18
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,419,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,55,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,27,3
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,4
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,5
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,416,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,47,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,20,3
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,10,4
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,3,5
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,804,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,120,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,94,3
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,20,4
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,26,5
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,880,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,142,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,60,3
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,30,4
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,14,5
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,773,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,94,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,60,3
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,26,4
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,7,5
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,493,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,64,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,35,3
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,17,4
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,7,5
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,507,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,75,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,59,3
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,31,4
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,11,5
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,741,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,134,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,87,3
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,64,4
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,14,5
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,623,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,90,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,66,3
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,33,4
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,14,5
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,601,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,112,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,62,3
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,34,4
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,14,5
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,848,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,138,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,92,3
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,43,4
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,17,5
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,574,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,96,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,49,3
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,16,4
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,9,5
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,387,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,63,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,29,3
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,19,4
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,8,5
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,473,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,66,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,42,3
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,8,4
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,10,5
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,650,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,106,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,63,3
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,26,4
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,11,5
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,542,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,109,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,66,3
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,19,4
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,4,5
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,635,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,137,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,81,3
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,20,4
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,6,5
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,420,1
