Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_00_18
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,414,1
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,50,2
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,33,3
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,4
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,5
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,446,1
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,58,2
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,34,3
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,15,4
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,5,5
2010-01-01,1,Ciutat Vella,1,el Raval,2,1003,809,1
2010-01-01,1,Ciutat Vella,1,el Raval,2,1003,137,2
2010-01-01,1,Ciutat Vella,1,el Raval,2,1003,80,3
2010-01-01,1,Ciutat Vella,1,el Raval,2,1003,34,4
2010-01-01,1,Ciutat Vella,1,el Raval,2,1003,30,5
2010-01-01,1,Ciutat Vella,1,el Raval,2,1004,866,1
2010-01-01,1,Ciutat Vella,1,el Raval,2,1004,136,2
2010-01-01,1,Ciutat Vella,1,el Raval,2,1004,100,3
2010-01-01,1,Ciutat Vella,1,el Raval,2,1004,12,4
2010-01-01,1,Ciutat Vella,1,el Raval,2,1004,13,5
2010-01-01,1,Ciutat Vella,1,el Raval,3,1005,781,1
2010-01-01,1,Ciutat Vella,1,el Raval,3,1005,88,2
2010-01-01,1,Ciutat Vella,1,el Raval,3,1005,40,3
2010-01-01,1,Ciutat Vella,1,el Raval,3,1005,28,4
2010-01-01,1,Ciutat Vella,1,el Raval,3,1005,7,5
2010-01-01,1,Ciutat Vella,1,el Raval,3,1006,547,1
2010-01-01,1,Ciutat Vella,1,el Raval,3,1006,61,2
2010-01-01,1,Ciutat Vella,1,el Raval,3,1006,39,3
2010-01-01,1,Ciutat Vella,1,el Raval,3,1006,14,4
2010-01-01,1,Ciutat Vella,1,el Raval,3,1006,7,5
2010-01-01,1,Ciutat Vella,1,el Raval,3,1007,555,1
2010-01-01,1,Ciutat Vella,1,el Raval,3,1007,70,2
2010-01-01,1,Ciutat Vella,1,el Raval,3,1007,39,3
2010-01-01,1,Ciutat Vella,1,el Raval,3,1007,12,4
2010-01-01,1,Ciutat Vella,1,el Raval,3,1007,12,5
2010-01-01,1,Ciutat Vella,1,el Raval,4,1008,692,1
2010-01-01,1,Ciutat Vella,1,el Raval,4,1008,124,2
2010-01-01,1,Ciutat Vella,1,el Raval,4,1008,68,3
2010-01-01,1,Ciutat Vella,1,el Raval,4,1008,37,4
2010-01-01,1,Ciutat Vella,1,el Raval,4,1008,32,5
2010-01-01,1,Ciutat Vella,1,el Raval,4,1009,674,1
2010-01-01,1,Ciutat Vella,1,el Raval,4,1009,98,2
2010-01-01,1,Ciutat Vella,1,el Raval,4,1009,49,3
2010-01-01,1,Ciutat Vella,1,el Raval,4,1009,17,4
2010-01-01,1,Ciutat Vella,1,el Raval,4,1009,9,5
2010-01-01,1,Ciutat Vella,1,el Raval,4,1010,571,1
2010-01-01,1,Ciutat Vella,1,el Raval,4,1010,88,2
2010-01-01,1,Ciutat Vella,1,el Raval,4,1010,77,3
2010-01-01,1,Ciutat Vella,1,el Raval,4,1010,24,4
2010-01-01,1,Ciutat Vella,1,el Raval,4,1010,10,5
2010-01-01,1,Ciutat Vella,1,el Raval,5,1011,892,1
2010-01-01,1,Ciutat Vella,1,el Raval,5,1011,137,2
2010-01-01,1,Ciutat Vella,1,el Raval,5,1011,79,3
2010-01-01,1,Ciutat Vella,1,el Raval,5,1011,30,4
2010-01-01,1,Ciutat Vella,1,el Raval,5,1011,27,5
2010-01-01,1,Ciutat Vella,1,el Raval,5,1012,593,1
2010-01-01,1,Ciutat Vella,1,el Raval,5,1012,81,2
2010-01-01,1,Ciutat Vella,1,el Raval,5,1012,40,3
2010-01-01,1,Ciutat Vella,1,el Raval,5,1012,22,4
2010-01-01,1,Ciutat Vella,1,el Raval,5,1012,6,5
2010-01-01,1,Ciutat Vella,1,el Raval,5,1013,411,1
2010-01-01,1,Ciutat Vella,1,el Raval,5,1013,57,2
2010-01-01,1,Ciutat Vella,1,el Raval,5,1013,20,3
2010-01-01,1,Ciutat Vella,1,el Raval,5,1013,13,4
2010-01-01,1,Ciutat Vella,1,el Raval,5,1013,5,5
2010-01-01,1,Ciutat Vella,1,el Raval,6,1014,416,1
2010-01-01,1,Ciutat Vella,1,el Raval,6,1014,96,2
2010-01-01,1,Ciutat Vella,1,el Raval,6,1014,51,3
2010-01-01,1,Ciutat Vella,1,el Raval,6,1014,16,4
2010-01-01,1,Ciutat Vella,1,el Raval,6,1014,8,5
2010-01-01,1,Ciutat Vella,1,el Raval,6,1015,631,1
2010-01-01,1,Ciutat Vella,1,el Raval,6,1015,94,2
2010-01-01,1,Ciutat Vella,1,el Raval,6,1015,67,3
2010-01-01,1,Ciutat Vella,1,el Raval,6,1015,23,4
2010-01-01,1,Ciutat Vella,1,el Raval,6,1015,11,5
2010-01-01,1,Ciutat Vella,1,el Raval,6,1016,567,1
2010-01-01,1,Ciutat Vella,1,el Raval,6,1016,119,2
2010-01-01,1,Ciutat Vella,1,el Raval,6,1016,62,3
2010-01-01,1,Ciutat Vella,1,el Raval,6,1016,24,4
2010-01-01,1,Ciutat Vella,1,el Raval,6,1016,7,5
2010-01-01,1,Ciutat Vella,1,el Raval,6,1017,663,1
