Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_00_18
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,417,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,53,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,25,3
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,15,4
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,5
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,444,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,51,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,22,3
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,17,4
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,5,5
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,813,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,121,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,93,3
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,27,4
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,21,5
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,863,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,132,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,74,3
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,27,4
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,16,5
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,761,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,99,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,60,3
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,26,4
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,8,5
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,494,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,63,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,37,3
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,11,4
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,12,5
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,515,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,80,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,47,3
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,27,4
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,11,5
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,755,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,139,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,88,3
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,51,4
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,20,5
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,640,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,96,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,67,3
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,33,4
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,9,5
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,602,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,116,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,64,3
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,30,4
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,9,5
2022-01-01,1,Ciutat Vella,1,el Raval,5,1011,851,1
2022-01-01,1,Ciutat Vella,1,el Raval,5,1011,142,2
2022-01-01,1,Ciutat Vella,1,el Raval,5,1011,81,3
2022-01-01,1,Ciutat Vella,1,el Raval,5,1011,38,4
2022-01-01,1,Ciutat Vella,1,el Raval,5,1011,25,5
2022-01-01,1,Ciutat Vella,1,el Raval,5,1012,572,1
2022-01-01,1,Ciutat Vella,1,el Raval,5,1012,93,2
2022-01-01,1,Ciutat Vella,1,el Raval,5,1012,46,3
2022-01-01,1,Ciutat Vella,1,el Raval,5,1012,17,4
2022-01-01,1,Ciutat Vella,1,el Raval,5,1012,12,5
2022-01-01,1,Ciutat Vella,1,el Raval,5,1013,382,1
2022-01-01,1,Ciutat Vella,1,el Raval,5,1013,63,2
2022-01-01,1,Ciutat Vella,1,el Raval,5,1013,32,3
2022-01-01,1,Ciutat Vella,1,el Raval,5,1013,17,4
2022-01-01,1,Ciutat Vella,1,el Raval,5,1013,7,5
2022-01-01,1,Ciutat Vella,1,el Raval,6,1014,467,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1014,74,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1014,41,3
2022-01-01,1,Ciutat Vella,1,el Raval,6,1014,9,4
2022-01-01,1,Ciutat Vella,1,el Raval,6,1014,12,5
2022-01-01,1,Ciutat Vella,1,el Raval,6,1015,656,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1015,104,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1015,66,3
2022-01-01,1,Ciutat Vella,1,el Raval,6,1015,20,4
2022-01-01,1,Ciutat Vella,1,el Raval,6,1015,9,5
2022-01-01,1,Ciutat Vella,1,el Raval,6,1016,557,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1016,103,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1016,66,3
2022-01-01,1,Ciutat Vella,1,el Raval,6,1016,18,4
2022-01-01,1,Ciutat Vella,1,el Raval,6,1016,5,5
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,647,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,120,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,87,3
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,18,4
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,8,5
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,414,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,60,2
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,35,3
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,16,4
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,11,5
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,879,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,94,2
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,86,3
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,26,4
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,10,5
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,804,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,81,2
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,27,3
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,10,4
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,1,5
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,844,1
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,67,2
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,33,3
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,13,4
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,3,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,543,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,43,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,27,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,4,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,2,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,779,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,69,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,39,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,6,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,3,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,526,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,36,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,29,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,6,4
