Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_00_18
2012-01-01,1,Ciutat Vella,1,el Raval,1,1001,423,1
2012-01-01,1,Ciutat Vella,1,el Raval,1,1001,49,2
2012-01-01,1,Ciutat Vella,1,el Raval,1,1001,36,3
2012-01-01,1,Ciutat Vella,1,el Raval,1,1001,10,4
2012-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,5
2012-01-01,1,Ciutat Vella,1,el Raval,1,1002,429,1
2012-01-01,1,Ciutat Vella,1,el Raval,1,1002,60,2
2012-01-01,1,Ciutat Vella,1,el Raval,1,1002,29,3
2012-01-01,1,Ciutat Vella,1,el Raval,1,1002,16,4
2012-01-01,1,Ciutat Vella,1,el Raval,1,1002,13,5
2012-01-01,1,Ciutat Vella,1,el Raval,2,1003,837,1
2012-01-01,1,Ciutat Vella,1,el Raval,2,1003,112,2
2012-01-01,1,Ciutat Vella,1,el Raval,2,1003,78,3
2012-01-01,1,Ciutat Vella,1,el Raval,2,1003,38,4
2012-01-01,1,Ciutat Vella,1,el Raval,2,1003,27,5
2012-01-01,1,Ciutat Vella,1,el Raval,2,1004,843,1
2012-01-01,1,Ciutat Vella,1,el Raval,2,1004,135,2
2012-01-01,1,Ciutat Vella,1,el Raval,2,1004,89,3
2012-01-01,1,Ciutat Vella,1,el Raval,2,1004,15,4
2012-01-01,1,Ciutat Vella,1,el Raval,2,1004,18,5
2012-01-01,1,Ciutat Vella,1,el Raval,3,1005,770,1
2012-01-01,1,Ciutat Vella,1,el Raval,3,1005,87,2
2012-01-01,1,Ciutat Vella,1,el Raval,3,1005,51,3
2012-01-01,1,Ciutat Vella,1,el Raval,3,1005,27,4
2012-01-01,1,Ciutat Vella,1,el Raval,3,1005,16,5
2012-01-01,1,Ciutat Vella,1,el Raval,3,1006,525,1
2012-01-01,1,Ciutat Vella,1,el Raval,3,1006,59,2
2012-01-01,1,Ciutat Vella,1,el Raval,3,1006,43,3
2012-01-01,1,Ciutat Vella,1,el Raval,3,1006,13,4
2012-01-01,1,Ciutat Vella,1,el Raval,3,1006,6,5
2012-01-01,1,Ciutat Vella,1,el Raval,3,1007,528,1
2012-01-01,1,Ciutat Vella,1,el Raval,3,1007,76,2
2012-01-01,1,Ciutat Vella,1,el Raval,3,1007,42,3
2012-01-01,1,Ciutat Vella,1,el Raval,3,1007,18,4
2012-01-01,1,Ciutat Vella,1,el Raval,3,1007,16,5
2012-01-01,1,Ciutat Vella,1,el Raval,4,1008,697,1
2012-01-01,1,Ciutat Vella,1,el Raval,4,1008,121,2
2012-01-01,1,Ciutat Vella,1,el Raval,4,1008,81,3
2012-01-01,1,Ciutat Vella,1,el Raval,4,1008,49,4
2012-01-01,1,Ciutat Vella,1,el Raval,4,1008,34,5
2012-01-01,1,Ciutat Vella,1,el Raval,4,1009,662,1
2012-01-01,1,Ciutat Vella,1,el Raval,4,1009,96,2
2012-01-01,1,Ciutat Vella,1,el Raval,4,1009,57,3
2012-01-01,1,Ciutat Vella,1,el Raval,4,1009,13,4
2012-01-01,1,Ciutat Vella,1,el Raval,4,1009,7,5
2012-01-01,1,Ciutat Vella,1,el Raval,4,1010,560,1
2012-01-01,1,Ciutat Vella,1,el Raval,4,1010,82,2
2012-01-01,1,Ciutat Vella,1,el Raval,4,1010,61,3
2012-01-01,1,Ciutat Vella,1,el Raval,4,1010,36,4
2012-01-01,1,Ciutat Vella,1,el Raval,4,1010,21,5
2012-01-01,1,Ciutat Vella,1,el Raval,5,1011,834,1
2012-01-01,1,Ciutat Vella,1,el Raval,5,1011,134,2
2012-01-01,1,Ciutat Vella,1,el Raval,5,1011,94,3
2012-01-01,1,Ciutat Vella,1,el Raval,5,1011,50,4
2012-01-01,1,Ciutat Vella,1,el Raval,5,1011,28,5
2012-01-01,1,Ciutat Vella,1,el Raval,5,1012,568,1
2012-01-01,1,Ciutat Vella,1,el Raval,5,1012,88,2
2012-01-01,1,Ciutat Vella,1,el Raval,5,1012,45,3
2012-01-01,1,Ciutat Vella,1,el Raval,5,1012,24,4
2012-01-01,1,Ciutat Vella,1,el Raval,5,1012,5,5
2012-01-01,1,Ciutat Vella,1,el Raval,5,1013,414,1
2012-01-01,1,Ciutat Vella,1,el Raval,5,1013,52,2
2012-01-01,1,Ciutat Vella,1,el Raval,5,1013,26,3
2012-01-01,1,Ciutat Vella,1,el Raval,5,1013,18,4
2012-01-01,1,Ciutat Vella,1,el Raval,5,1013,5,5
2012-01-01,1,Ciutat Vella,1,el Raval,6,1014,433,1
2012-01-01,1,Ciutat Vella,1,el Raval,6,1014,83,2
2012-01-01,1,Ciutat Vella,1,el Raval,6,1014,53,3
2012-01-01,1,Ciutat Vella,1,el Raval,6,1014,18,4
2012-01-01,1,Ciutat Vella,1,el Raval,6,1014,11,5
2012-01-01,1,Ciutat Vella,1,el Raval,6,1015,634,1
2012-01-01,1,Ciutat Vella,1,el Raval,6,1015,90,2
2012-01-01,1,Ciutat Vella,1,el Raval,6,1015,60,3
2012-01-01,1,Ciutat Vella,1,el Raval,6,1015,22,4
2012-01-01,1,Ciutat Vella,1,el Raval,6,1015,10,5
2012-01-01,1,Ciutat Vella,1,el Raval,6,1016,567,1
2012-01-01,1,Ciutat Vella,1,el Raval,6,1016,121,2
2012-01-01,1,Ciutat Vella,1,el Raval,6,1016,68,3
2012-01-01,1,Ciutat Vella,1,el Raval,6,1016,19,4
2012-01-01,1,Ciutat Vella,1,el Raval,6,1016,9,5
2012-01-01,1,Ciutat Vella,1,el Raval,6,1017,663,1
2012-01-01,1,Ciutat Vella,1,el Raval,6,1017,120,2
2012-01-01,1,Ciutat Vella,1,el Raval,6,1017,64,3
2012-01-01,1,Ciutat Vella,1,el Raval,6,1017,26,4
2012-01-01,1,Ciutat Vella,1,el Raval,6,1017,17,5
2012-01-01,1,Ciutat Vella,1,el Raval,7,1018,433,1
2012-01-01,1,Ciutat Vella,1,el Raval,7,1018,73,2
2012-01-01,1,Ciutat Vella,1,el Raval,7,1018,35,3
2012-01-01,1,Ciutat Vella,1,el Raval,7,1018,13,4
2012-01-01,1,Ciutat Vella,1,el Raval,7,1018,3,5
2012-01-01,1,Ciutat Vella,1,el Raval,7,1019,876,1
2012-01-01,1,Ciutat Vella,1,el Raval,7,1019,107,2
2012-01-01,1,Ciutat Vella,1,el Raval,7,1019,45,3
2012-01-01,1,Ciutat Vella,1,el Raval,7,1019,24,4
2012-01-01,1,Ciutat Vella,1,el Raval,7,1019,19,5
2012-01-01,1,Ciutat Vella,1,el Raval,7,1020,806,1
2012-01-01,1,Ciutat Vella,1,el Raval,7,1020,70,2
2012-01-01,1,Ciutat Vella,1,el Raval,7,1020,37,3
2012-01-01,1,Ciutat Vella,1,el Raval,7,1020,10,4
2012-01-01,1,Ciutat Vella,1,el Raval,7,1020,4,5
2012-01-01,1,Ciutat Vella,1,el Raval,8,1021,831,1
2012-01-01,1,Ciutat Vella,1,el Raval,8,1021,84,2
2012-01-01,1,Ciutat Vella,1,el Raval,8,1021,39,3
2012-01-01,1,Ciutat Vella,1,el Raval,8,1021,8,4
2012-01-01,1,Ciutat Vella,1,el Raval,8,1021,1,5
2012-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,469,1
2012-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,50,2
2012-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,33,3
