Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_00_18
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,405,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,52,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,31,3
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,10,4
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,5
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,421,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,62,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,38,3
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,10,4
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,8,5
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,770,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,114,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,95,3
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,38,4
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,28,5
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,792,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,139,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,70,3
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,26,4
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,20,5
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,733,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,92,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,56,3
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,28,4
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,10,5
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,486,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,63,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,29,3
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,9,4
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,7,5
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,500,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,87,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,45,3
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,18,4
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,14,5
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,703,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,148,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,93,3
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,44,4
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,19,5
2015-01-01,1,Ciutat Vella,1,el Raval,4,1009,600,1
