Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Mitjana_Renda_€
2017,1,Ciutat Vella,1,el Raval,1,15475
2017,1,Ciutat Vella,1,el Raval,2,11825
2017,1,Ciutat Vella,1,el Raval,3,12244
2017,1,Ciutat Vella,1,el Raval,4,14779
2017,1,Ciutat Vella,1,el Raval,5,11835
2017,1,Ciutat Vella,1,el Raval,6,13696
2017,1,Ciutat Vella,1,el Raval,7,13232
2017,1,Ciutat Vella,1,el Raval,8,10660
2017,1,Ciutat Vella,1,el Raval,9,12431
2017,1,Ciutat Vella,1,el Raval,10,11596
2017,1,Ciutat Vella,1,el Raval,11,10774
2017,1,Ciutat Vella,1,el Raval,12,13412
2017,1,Ciutat Vella,1,el Raval,13,14807
2017,1,Ciutat Vella,1,el Raval,14,13836
2017,1,Ciutat Vella,1,el Raval,15,13447
2017,1,Ciutat Vella,1,el Raval,16,13044
2017,1,Ciutat Vella,1,el Raval,17,12996
2017,1,Ciutat Vella,1,el Raval,18,13236
2017,1,Ciutat Vella,1,el Raval,19,12423
2017,1,Ciutat Vella,1,el Raval,20,20180
2017,1,Ciutat Vella,1,el Raval,21,17861
2017,1,Ciutat Vella,2,el Barri Gòtic,22,22974
2017,1,Ciutat Vella,2,el Barri Gòtic,23,19663
2017,1,Ciutat Vella,2,el Barri Gòtic,25,18130
2017,1,Ciutat Vella,2,el Barri Gòtic,26,17027
2017,1,Ciutat Vella,2,el Barri Gòtic,27,17884
2017,1,Ciutat Vella,2,el Barri Gòtic,28,17252
2017,1,Ciutat Vella,2,el Barri Gòtic,29,15033
2017,1,Ciutat Vella,2,el Barri Gòtic,30,15180
2017,1,Ciutat Vella,2,el Barri Gòtic,31,15870
2017,1,Ciutat Vella,3,la Barceloneta,32,18285
2017,1,Ciutat Vella,3,la Barceloneta,33,15327
2017,1,Ciutat Vella,3,la Barceloneta,34,15230
2017,1,Ciutat Vella,3,la Barceloneta,35,15114
2017,1,Ciutat Vella,3,la Barceloneta,36,16959
2017,1,Ciutat Vella,3,la Barceloneta,37,16588
2017,1,Ciutat Vella,3,la Barceloneta,38,15394
2017,1,Ciutat Vella,3,la Barceloneta,39,16945
2017,1,Ciutat Vella,3,la Barceloneta,40,16899
2017,1,Ciutat Vella,3,la Barceloneta,41,14626
2017,1,Ciutat Vella,3,la Barceloneta,42,17787
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,22107
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,22352
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,17994
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,16344
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,16107
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,13633
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,17629
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,17171
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,14400
