Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Mediana_Renda_€
2015,1,Ciutat Vella,1,el Raval,1,10850
2015,1,Ciutat Vella,1,el Raval,2,8750
2015,1,Ciutat Vella,1,el Raval,3,9450
2015,1,Ciutat Vella,1,el Raval,4,10850
2015,1,Ciutat Vella,1,el Raval,5,8750
2015,1,Ciutat Vella,1,el Raval,6,9450
2015,1,Ciutat Vella,1,el Raval,7,8750
2015,1,Ciutat Vella,1,el Raval,8,8750
2015,1,Ciutat Vella,1,el Raval,9,10150
2015,1,Ciutat Vella,1,el Raval,10,9450
2015,1,Ciutat Vella,1,el Raval,11,8750
2015,1,Ciutat Vella,1,el Raval,12,10850
2015,1,Ciutat Vella,1,el Raval,13,12250
2015,1,Ciutat Vella,1,el Raval,14,12250
2015,1,Ciutat Vella,1,el Raval,15,10850
2015,1,Ciutat Vella,1,el Raval,16,11550
2015,1,Ciutat Vella,1,el Raval,17,10850
2015,1,Ciutat Vella,1,el Raval,18,11550
2015,1,Ciutat Vella,1,el Raval,19,9450
2015,1,Ciutat Vella,1,el Raval,20,15750
2015,1,Ciutat Vella,1,el Raval,21,14350
2015,1,Ciutat Vella,2,el Barri Gòtic,22,17850
2015,1,Ciutat Vella,2,el Barri Gòtic,23,15050
2015,1,Ciutat Vella,2,el Barri Gòtic,25,13650
2015,1,Ciutat Vella,2,el Barri Gòtic,26,10850
2015,1,Ciutat Vella,2,el Barri Gòtic,27,12250
2015,1,Ciutat Vella,2,el Barri Gòtic,28,12950
2015,1,Ciutat Vella,2,el Barri Gòtic,29,11550
2015,1,Ciutat Vella,2,el Barri Gòtic,30,11550
2015,1,Ciutat Vella,2,el Barri Gòtic,31,10850
2015,1,Ciutat Vella,3,la Barceloneta,32,15050
2015,1,Ciutat Vella,3,la Barceloneta,33,12250
2015,1,Ciutat Vella,3,la Barceloneta,34,12250
2015,1,Ciutat Vella,3,la Barceloneta,35,12950
2015,1,Ciutat Vella,3,la Barceloneta,36,13650
