Municipios,Distritos,Secciones,Índice de Gini y Distribución de la renta P80/P20,Periodo,Total
08019 Barcelona,0801902 Barcelona distrito 02,0801902089 Barcelona sección 02089,Distribución de la renta P80/P20,2020,3.3
08019 Barcelona,0801902 Barcelona distrito 02,0801902089 Barcelona sección 02089,Distribución de la renta P80/P20,2019,3.3
08019 Barcelona,0801902 Barcelona distrito 02,0801902089 Barcelona sección 02089,Distribución de la renta P80/P20,2018,3.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902089 Barcelona sección 02089,Distribución de la renta P80/P20,2017,3.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902089 Barcelona sección 02089,Distribución de la renta P80/P20,2016,3.5
08019 Barcelona,0801902 Barcelona distrito 02,0801902089 Barcelona sección 02089,Distribución de la renta P80/P20,2015,3.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902090 Barcelona sección 02090,Índice de Gini,2023,34
08019 Barcelona,0801902 Barcelona distrito 02,0801902090 Barcelona sección 02090,Índice de Gini,2022,35.8
08019 Barcelona,0801902 Barcelona distrito 02,0801902090 Barcelona sección 02090,Índice de Gini,2021,37.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902090 Barcelona sección 02090,Índice de Gini,2020,37.5
08019 Barcelona,0801902 Barcelona distrito 02,0801902090 Barcelona sección 02090,Índice de Gini,2019,37.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902090 Barcelona sección 02090,Índice de Gini,2018,38.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902090 Barcelona sección 02090,Índice de Gini,2017,38.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902090 Barcelona sección 02090,Índice de Gini,2016,40.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902090 Barcelona sección 02090,Índice de Gini,2015,39.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902090 Barcelona sección 02090,Distribución de la renta P80/P20,2023,3.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902090 Barcelona sección 02090,Distribución de la renta P80/P20,2022,3.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902090 Barcelona sección 02090,Distribución de la renta P80/P20,2021,3.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902090 Barcelona sección 02090,Distribución de la renta P80/P20,2020,3.8
08019 Barcelona,0801902 Barcelona distrito 02,0801902090 Barcelona sección 02090,Distribución de la renta P80/P20,2019,3.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902090 Barcelona sección 02090,Distribución de la renta P80/P20,2018,3.8
08019 Barcelona,0801902 Barcelona distrito 02,0801902090 Barcelona sección 02090,Distribución de la renta P80/P20,2017,3.9
08019 Barcelona,0801902 Barcelona distrito 02,0801902090 Barcelona sección 02090,Distribución de la renta P80/P20,2016,3.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902090 Barcelona sección 02090,Distribución de la renta P80/P20,2015,4
08019 Barcelona,0801902 Barcelona distrito 02,0801902091 Barcelona sección 02091,Índice de Gini,2023,37.9
08019 Barcelona,0801902 Barcelona distrito 02,0801902091 Barcelona sección 02091,Índice de Gini,2022,37.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902091 Barcelona sección 02091,Índice de Gini,2021,39.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902091 Barcelona sección 02091,Índice de Gini,2020,38.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902091 Barcelona sección 02091,Índice de Gini,2019,39.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902091 Barcelona sección 02091,Índice de Gini,2018,40.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902091 Barcelona sección 02091,Índice de Gini,2017,40
08019 Barcelona,0801902 Barcelona distrito 02,0801902091 Barcelona sección 02091,Índice de Gini,2016,40.9
08019 Barcelona,0801902 Barcelona distrito 02,0801902091 Barcelona sección 02091,Índice de Gini,2015,41.3
08019 Barcelona,0801902 Barcelona distrito 02,0801902091 Barcelona sección 02091,Distribución de la renta P80/P20,2023,3.5
08019 Barcelona,0801902 Barcelona distrito 02,0801902091 Barcelona sección 02091,Distribución de la renta P80/P20,2022,3.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902091 Barcelona sección 02091,Distribución de la renta P80/P20,2021,3.5
08019 Barcelona,0801902 Barcelona distrito 02,0801902091 Barcelona sección 02091,Distribución de la renta P80/P20,2020,3.8
08019 Barcelona,0801902 Barcelona distrito 02,0801902091 Barcelona sección 02091,Distribución de la renta P80/P20,2019,3.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902091 Barcelona sección 02091,Distribución de la renta P80/P20,2018,3.5
08019 Barcelona,0801902 Barcelona distrito 02,0801902091 Barcelona sección 02091,Distribución de la renta P80/P20,2017,3.5
08019 Barcelona,0801902 Barcelona distrito 02,0801902091 Barcelona sección 02091,Distribución de la renta P80/P20,2016,3.8
08019 Barcelona,0801902 Barcelona distrito 02,0801902091 Barcelona sección 02091,Distribución de la renta P80/P20,2015,3.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902092 Barcelona sección 02092,Índice de Gini,2023,36.9
08019 Barcelona,0801902 Barcelona distrito 02,0801902092 Barcelona sección 02092,Índice de Gini,2022,37
08019 Barcelona,0801902 Barcelona distrito 02,0801902092 Barcelona sección 02092,Índice de Gini,2021,37
08019 Barcelona,0801902 Barcelona distrito 02,0801902092 Barcelona sección 02092,Índice de Gini,2020,38.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902092 Barcelona sección 02092,Índice de Gini,2019,38.9
08019 Barcelona,0801902 Barcelona distrito 02,0801902092 Barcelona sección 02092,Índice de Gini,2018,38.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902092 Barcelona sección 02092,Índice de Gini,2017,39.8
08019 Barcelona,0801902 Barcelona distrito 02,0801902092 Barcelona sección 02092,Índice de Gini,2016,39
08019 Barcelona,0801902 Barcelona distrito 02,0801902092 Barcelona sección 02092,Índice de Gini,2015,39.3
08019 Barcelona,0801902 Barcelona distrito 02,0801902092 Barcelona sección 02092,Distribución de la renta P80/P20,2023,3.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902092 Barcelona sección 02092,Distribución de la renta P80/P20,2022,3.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902092 Barcelona sección 02092,Distribución de la renta P80/P20,2021,3.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902092 Barcelona sección 02092,Distribución de la renta P80/P20,2020,3.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902092 Barcelona sección 02092,Distribución de la renta P80/P20,2019,3.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902092 Barcelona sección 02092,Distribución de la renta P80/P20,2018,3.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902092 Barcelona sección 02092,Distribución de la renta P80/P20,2017,3.8
08019 Barcelona,0801902 Barcelona distrito 02,0801902092 Barcelona sección 02092,Distribución de la renta P80/P20,2016,3.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902092 Barcelona sección 02092,Distribución de la renta P80/P20,2015,3.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902093 Barcelona sección 02093,Índice de Gini,2023,36.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902093 Barcelona sección 02093,Índice de Gini,2022,37.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902093 Barcelona sección 02093,Índice de Gini,2021,38.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902093 Barcelona sección 02093,Índice de Gini,2020,38.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902093 Barcelona sección 02093,Índice de Gini,2019,36.3
08019 Barcelona,0801902 Barcelona distrito 02,0801902093 Barcelona sección 02093,Índice de Gini,2018,38.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902093 Barcelona sección 02093,Índice de Gini,2017,36.8
08019 Barcelona,0801902 Barcelona distrito 02,0801902093 Barcelona sección 02093,Índice de Gini,2016,36.5
08019 Barcelona,0801902 Barcelona distrito 02,0801902093 Barcelona sección 02093,Índice de Gini,2015,36.9
08019 Barcelona,0801902 Barcelona distrito 02,0801902093 Barcelona sección 02093,Distribución de la renta P80/P20,2023,3.3
08019 Barcelona,0801902 Barcelona distrito 02,0801902093 Barcelona sección 02093,Distribución de la renta P80/P20,2022,3.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902093 Barcelona sección 02093,Distribución de la renta P80/P20,2021,3.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902093 Barcelona sección 02093,Distribución de la renta P80/P20,2020,3.3
08019 Barcelona,0801902 Barcelona distrito 02,0801902093 Barcelona sección 02093,Distribución de la renta P80/P20,2019,3.3
08019 Barcelona,0801902 Barcelona distrito 02,0801902093 Barcelona sección 02093,Distribución de la renta P80/P20,2018,3.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902093 Barcelona sección 02093,Distribución de la renta P80/P20,2017,3.5
08019 Barcelona,0801902 Barcelona distrito 02,0801902093 Barcelona sección 02093,Distribución de la renta P80/P20,2016,3.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902093 Barcelona sección 02093,Distribución de la renta P80/P20,2015,3.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902094 Barcelona sección 02094,Índice de Gini,2023,32.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902094 Barcelona sección 02094,Índice de Gini,2022,34.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902094 Barcelona sección 02094,Índice de Gini,2021,35.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902094 Barcelona sección 02094,Índice de Gini,2020,33.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902094 Barcelona sección 02094,Índice de Gini,2019,34.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902094 Barcelona sección 02094,Índice de Gini,2018,35
08019 Barcelona,0801902 Barcelona distrito 02,0801902094 Barcelona sección 02094,Índice de Gini,2017,34
08019 Barcelona,0801902 Barcelona distrito 02,0801902094 Barcelona sección 02094,Índice de Gini,2016,35.3
08019 Barcelona,0801902 Barcelona distrito 02,0801902094 Barcelona sección 02094,Índice de Gini,2015,34.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902094 Barcelona sección 02094,Distribución de la renta P80/P20,2023,2.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902094 Barcelona sección 02094,Distribución de la renta P80/P20,2022,3
08019 Barcelona,0801902 Barcelona distrito 02,0801902094 Barcelona sección 02094,Distribución de la renta P80/P20,2021,3.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902094 Barcelona sección 02094,Distribución de la renta P80/P20,2020,3.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902094 Barcelona sección 02094,Distribución de la renta P80/P20,2019,2.9
08019 Barcelona,0801902 Barcelona distrito 02,0801902094 Barcelona sección 02094,Distribución de la renta P80/P20,2018,3.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902094 Barcelona sección 02094,Distribución de la renta P80/P20,2017,3.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902094 Barcelona sección 02094,Distribución de la renta P80/P20,2016,3.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902094 Barcelona sección 02094,Distribución de la renta P80/P20,2015,3.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902095 Barcelona sección 02095,Índice de Gini,2023,35.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902095 Barcelona sección 02095,Índice de Gini,2022,34.3
08019 Barcelona,0801902 Barcelona distrito 02,0801902095 Barcelona sección 02095,Índice de Gini,2021,37.5
08019 Barcelona,0801902 Barcelona distrito 02,0801902095 Barcelona sección 02095,Índice de Gini,2020,36.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902095 Barcelona sección 02095,Índice de Gini,2019,37.5
08019 Barcelona,0801902 Barcelona distrito 02,0801902095 Barcelona sección 02095,Índice de Gini,2018,38.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902095 Barcelona sección 02095,Índice de Gini,2017,37.8
08019 Barcelona,0801902 Barcelona distrito 02,0801902095 Barcelona sección 02095,Índice de Gini,2016,38.9
08019 Barcelona,0801902 Barcelona distrito 02,0801902095 Barcelona sección 02095,Índice de Gini,2015,38.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902095 Barcelona sección 02095,Distribución de la renta P80/P20,2023,2.9
08019 Barcelona,0801902 Barcelona distrito 02,0801902095 Barcelona sección 02095,Distribución de la renta P80/P20,2022,2.8
08019 Barcelona,0801902 Barcelona distrito 02,0801902095 Barcelona sección 02095,Distribución de la renta P80/P20,2021,3.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902095 Barcelona sección 02095,Distribución de la renta P80/P20,2020,3.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902095 Barcelona sección 02095,Distribución de la renta P80/P20,2019,3.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902095 Barcelona sección 02095,Distribución de la renta P80/P20,2018,3.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902095 Barcelona sección 02095,Distribución de la renta P80/P20,2017,3.3
08019 Barcelona,0801902 Barcelona distrito 02,0801902095 Barcelona sección 02095,Distribución de la renta P80/P20,2016,3.9
08019 Barcelona,0801902 Barcelona distrito 02,0801902095 Barcelona sección 02095,Distribución de la renta P80/P20,2015,3.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902096 Barcelona sección 02096,Índice de Gini,2023,34.8
08019 Barcelona,0801902 Barcelona distrito 02,0801902096 Barcelona sección 02096,Índice de Gini,2022,35.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902096 Barcelona sección 02096,Índice de Gini,2021,33.5
08019 Barcelona,0801902 Barcelona distrito 02,0801902096 Barcelona sección 02096,Índice de Gini,2020,34.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902096 Barcelona sección 02096,Índice de Gini,2019,35.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902096 Barcelona sección 02096,Índice de Gini,2018,38
08019 Barcelona,0801902 Barcelona distrito 02,0801902096 Barcelona sección 02096,Índice de Gini,2017,37.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902096 Barcelona sección 02096,Índice de Gini,2016,36.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902096 Barcelona sección 02096,Índice de Gini,2015,37
08019 Barcelona,0801902 Barcelona distrito 02,0801902096 Barcelona sección 02096,Distribución de la renta P80/P20,2023,2.8
08019 Barcelona,0801902 Barcelona distrito 02,0801902096 Barcelona sección 02096,Distribución de la renta P80/P20,2022,3.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902096 Barcelona sección 02096,Distribución de la renta P80/P20,2021,3
08019 Barcelona,0801902 Barcelona distrito 02,0801902096 Barcelona sección 02096,Distribución de la renta P80/P20,2020,3.3
08019 Barcelona,0801902 Barcelona distrito 02,0801902096 Barcelona sección 02096,Distribución de la renta P80/P20,2019,3.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902096 Barcelona sección 02096,Distribución de la renta P80/P20,2018,3.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902096 Barcelona sección 02096,Distribución de la renta P80/P20,2017,3.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902096 Barcelona sección 02096,Distribución de la renta P80/P20,2016,3.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902096 Barcelona sección 02096,Distribución de la renta P80/P20,2015,3
08019 Barcelona,0801902 Barcelona distrito 02,0801902097 Barcelona sección 02097,Índice de Gini,2023,32.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902097 Barcelona sección 02097,Índice de Gini,2022,34.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902097 Barcelona sección 02097,Índice de Gini,2021,34.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902097 Barcelona sección 02097,Índice de Gini,2020,33.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902097 Barcelona sección 02097,Índice de Gini,2019,34.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902097 Barcelona sección 02097,Índice de Gini,2018,35.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902097 Barcelona sección 02097,Índice de Gini,2017,35.3
08019 Barcelona,0801902 Barcelona distrito 02,0801902097 Barcelona sección 02097,Índice de Gini,2016,35.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902097 Barcelona sección 02097,Índice de Gini,2015,35.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902097 Barcelona sección 02097,Distribución de la renta P80/P20,2023,2.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902097 Barcelona sección 02097,Distribución de la renta P80/P20,2022,2.8
08019 Barcelona,0801902 Barcelona distrito 02,0801902097 Barcelona sección 02097,Distribución de la renta P80/P20,2021,2.9
08019 Barcelona,0801902 Barcelona distrito 02,0801902097 Barcelona sección 02097,Distribución de la renta P80/P20,2020,2.8
08019 Barcelona,0801902 Barcelona distrito 02,0801902097 Barcelona sección 02097,Distribución de la renta P80/P20,2019,2.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902097 Barcelona sección 02097,Distribución de la renta P80/P20,2018,2.9
08019 Barcelona,0801902 Barcelona distrito 02,0801902097 Barcelona sección 02097,Distribución de la renta P80/P20,2017,2.9
08019 Barcelona,0801902 Barcelona distrito 02,0801902097 Barcelona sección 02097,Distribución de la renta P80/P20,2016,3.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902097 Barcelona sección 02097,Distribución de la renta P80/P20,2015,3.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902098 Barcelona sección 02098,Índice de Gini,2023,37.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902098 Barcelona sección 02098,Índice de Gini,2022,36.9
08019 Barcelona,0801902 Barcelona distrito 02,0801902098 Barcelona sección 02098,Índice de Gini,2021,36.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902098 Barcelona sección 02098,Índice de Gini,2020,35.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902098 Barcelona sección 02098,Índice de Gini,2019,35.5
08019 Barcelona,0801902 Barcelona distrito 02,0801902098 Barcelona sección 02098,Índice de Gini,2018,36.9
08019 Barcelona,0801902 Barcelona distrito 02,0801902098 Barcelona sección 02098,Índice de Gini,2017,37
08019 Barcelona,0801902 Barcelona distrito 02,0801902098 Barcelona sección 02098,Índice de Gini,2016,36.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902098 Barcelona sección 02098,Índice de Gini,2015,38.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902098 Barcelona sección 02098,Distribución de la renta P80/P20,2023,3.3
08019 Barcelona,0801902 Barcelona distrito 02,0801902098 Barcelona sección 02098,Distribución de la renta P80/P20,2022,3.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902098 Barcelona sección 02098,Distribución de la renta P80/P20,2021,3.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902098 Barcelona sección 02098,Distribución de la renta P80/P20,2020,3
08019 Barcelona,0801902 Barcelona distrito 02,0801902098 Barcelona sección 02098,Distribución de la renta P80/P20,2019,2.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902098 Barcelona sección 02098,Distribución de la renta P80/P20,2018,3.3
08019 Barcelona,0801902 Barcelona distrito 02,0801902098 Barcelona sección 02098,Distribución de la renta P80/P20,2017,3.3
08019 Barcelona,0801902 Barcelona distrito 02,0801902098 Barcelona sección 02098,Distribución de la renta P80/P20,2016,3.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902098 Barcelona sección 02098,Distribución de la renta P80/P20,2015,3.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902099 Barcelona sección 02099,Índice de Gini,2023,35.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902099 Barcelona sección 02099,Índice de Gini,2022,36.3
08019 Barcelona,0801902 Barcelona distrito 02,0801902099 Barcelona sección 02099,Índice de Gini,2021,37.5
08019 Barcelona,0801902 Barcelona distrito 02,0801902099 Barcelona sección 02099,Índice de Gini,2020,39.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902099 Barcelona sección 02099,Índice de Gini,2019,36.9
08019 Barcelona,0801902 Barcelona distrito 02,0801902099 Barcelona sección 02099,Índice de Gini,2018,37.8
08019 Barcelona,0801902 Barcelona distrito 02,0801902099 Barcelona sección 02099,Índice de Gini,2017,37
08019 Barcelona,0801902 Barcelona distrito 02,0801902099 Barcelona sección 02099,Índice de Gini,2016,39.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902099 Barcelona sección 02099,Índice de Gini,2015,37.9
08019 Barcelona,0801902 Barcelona distrito 02,0801902099 Barcelona sección 02099,Distribución de la renta P80/P20,2023,3.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902099 Barcelona sección 02099,Distribución de la renta P80/P20,2022,3.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902099 Barcelona sección 02099,Distribución de la renta P80/P20,2021,3.8
08019 Barcelona,0801902 Barcelona distrito 02,0801902099 Barcelona sección 02099,Distribución de la renta P80/P20,2020,4.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902099 Barcelona sección 02099,Distribución de la renta P80/P20,2019,3.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902099 Barcelona sección 02099,Distribución de la renta P80/P20,2018,3.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902099 Barcelona sección 02099,Distribución de la renta P80/P20,2017,3.5
08019 Barcelona,0801902 Barcelona distrito 02,0801902099 Barcelona sección 02099,Distribución de la renta P80/P20,2016,3.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902099 Barcelona sección 02099,Distribución de la renta P80/P20,2015,3.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902100 Barcelona sección 02100,Índice de Gini,2023,31.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902100 Barcelona sección 02100,Índice de Gini,2022,30.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902100 Barcelona sección 02100,Índice de Gini,2021,32
08019 Barcelona,0801902 Barcelona distrito 02,0801902100 Barcelona sección 02100,Índice de Gini,2020,32.5
08019 Barcelona,0801902 Barcelona distrito 02,0801902100 Barcelona sección 02100,Índice de Gini,2019,32.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902100 Barcelona sección 02100,Índice de Gini,2018,33.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902100 Barcelona sección 02100,Índice de Gini,2017,35.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902100 Barcelona sección 02100,Índice de Gini,2016,35.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902100 Barcelona sección 02100,Índice de Gini,2015,35.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902100 Barcelona sección 02100,Distribución de la renta P80/P20,2023,2.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902100 Barcelona sección 02100,Distribución de la renta P80/P20,2022,2.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902100 Barcelona sección 02100,Distribución de la renta P80/P20,2021,2.8
08019 Barcelona,0801902 Barcelona distrito 02,0801902100 Barcelona sección 02100,Distribución de la renta P80/P20,2020,3
08019 Barcelona,0801902 Barcelona distrito 02,0801902100 Barcelona sección 02100,Distribución de la renta P80/P20,2019,2.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902100 Barcelona sección 02100,Distribución de la renta P80/P20,2018,3
08019 Barcelona,0801902 Barcelona distrito 02,0801902100 Barcelona sección 02100,Distribución de la renta P80/P20,2017,2.9
08019 Barcelona,0801902 Barcelona distrito 02,0801902100 Barcelona sección 02100,Distribución de la renta P80/P20,2016,2.9
08019 Barcelona,0801902 Barcelona distrito 02,0801902100 Barcelona sección 02100,Distribución de la renta P80/P20,2015,3
08019 Barcelona,0801902 Barcelona distrito 02,0801902101 Barcelona sección 02101,Índice de Gini,2023,33.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902101 Barcelona sección 02101,Índice de Gini,2022,34.3
08019 Barcelona,0801902 Barcelona distrito 02,0801902101 Barcelona sección 02101,Índice de Gini,2021,34.5
08019 Barcelona,0801902 Barcelona distrito 02,0801902101 Barcelona sección 02101,Índice de Gini,2020,35.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902101 Barcelona sección 02101,Índice de Gini,2019,36.9
08019 Barcelona,0801902 Barcelona distrito 02,0801902101 Barcelona sección 02101,Índice de Gini,2018,38.8
08019 Barcelona,0801902 Barcelona distrito 02,0801902101 Barcelona sección 02101,Índice de Gini,2017,37.2
08019 Barcelona,0801902 Barcelona distrito 02,0801902101 Barcelona sección 02101,Índice de Gini,2016,36.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902101 Barcelona sección 02101,Índice de Gini,2015,35.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902101 Barcelona sección 02101,Distribución de la renta P80/P20,2023,3
08019 Barcelona,0801902 Barcelona distrito 02,0801902101 Barcelona sección 02101,Distribución de la renta P80/P20,2022,3.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902101 Barcelona sección 02101,Distribución de la renta P80/P20,2021,3
08019 Barcelona,0801902 Barcelona distrito 02,0801902101 Barcelona sección 02101,Distribución de la renta P80/P20,2020,3.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902101 Barcelona sección 02101,Distribución de la renta P80/P20,2019,3.4
08019 Barcelona,0801902 Barcelona distrito 02,0801902101 Barcelona sección 02101,Distribución de la renta P80/P20,2018,3.5
08019 Barcelona,0801902 Barcelona distrito 02,0801902101 Barcelona sección 02101,Distribución de la renta P80/P20,2017,3.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902101 Barcelona sección 02101,Distribución de la renta P80/P20,2016,3.5
08019 Barcelona,0801902 Barcelona distrito 02,0801902101 Barcelona sección 02101,Distribución de la renta P80/P20,2015,3
08019 Barcelona,0801902 Barcelona distrito 02,0801902102 Barcelona sección 02102,Índice de Gini,2023,36.5
08019 Barcelona,0801902 Barcelona distrito 02,0801902102 Barcelona sección 02102,Índice de Gini,2022,36.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902102 Barcelona sección 02102,Índice de Gini,2021,35.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902102 Barcelona sección 02102,Índice de Gini,2020,36.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902102 Barcelona sección 02102,Índice de Gini,2019,36.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902102 Barcelona sección 02102,Índice de Gini,2018,37
08019 Barcelona,0801902 Barcelona distrito 02,0801902102 Barcelona sección 02102,Índice de Gini,2017,39.7
08019 Barcelona,0801902 Barcelona distrito 02,0801902102 Barcelona sección 02102,Índice de Gini,2016,39.5
08019 Barcelona,0801902 Barcelona distrito 02,0801902102 Barcelona sección 02102,Índice de Gini,2015,38
08019 Barcelona,0801902 Barcelona distrito 02,0801902102 Barcelona sección 02102,Distribución de la renta P80/P20,2023,3
08019 Barcelona,0801902 Barcelona distrito 02,0801902102 Barcelona sección 02102,Distribución de la renta P80/P20,2022,3.3
08019 Barcelona,0801902 Barcelona distrito 02,0801902102 Barcelona sección 02102,Distribución de la renta P80/P20,2021,3.3
08019 Barcelona,0801902 Barcelona distrito 02,0801902102 Barcelona sección 02102,Distribución de la renta P80/P20,2020,3
08019 Barcelona,0801902 Barcelona distrito 02,0801902102 Barcelona sección 02102,Distribución de la renta P80/P20,2019,3.1
08019 Barcelona,0801902 Barcelona distrito 02,0801902102 Barcelona sección 02102,Distribución de la renta P80/P20,2018,3
08019 Barcelona,0801902 Barcelona distrito 02,0801902102 Barcelona sección 02102,Distribución de la renta P80/P20,2017,3.5
08019 Barcelona,0801902 Barcelona distrito 02,0801902102 Barcelona sección 02102,Distribución de la renta P80/P20,2016,3.6
08019 Barcelona,0801902 Barcelona distrito 02,0801902102 Barcelona sección 02102,Distribución de la renta P80/P20,2015,3.5
08019 Barcelona,0801902 Barcelona distrito 02,0801902103 Barcelona sección 02103,Índice de Gini,2023,33.1
