Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,SEXE,EDAT_Q
2009-01-01,1,Ciutat Vella,1,el Raval,..,1,0
2009-01-01,1,Ciutat Vella,1,el Raval,..,1,1
2009-01-01,1,Ciutat Vella,1,el Raval,..,1,3
2009-01-01,1,Ciutat Vella,1,el Raval,67,1,4
2009-01-01,1,Ciutat Vella,1,el Raval,238,1,5
2009-01-01,1,Ciutat Vella,1,el Raval,294,1,6
2009-01-01,1,Ciutat Vella,1,el Raval,264,1,7
2009-01-01,1,Ciutat Vella,1,el Raval,171,1,8
2009-01-01,1,Ciutat Vella,1,el Raval,150,1,9
2009-01-01,1,Ciutat Vella,1,el Raval,158,1,10
2009-01-01,1,Ciutat Vella,1,el Raval,134,1,11
2009-01-01,1,Ciutat Vella,1,el Raval,191,1,12
2009-01-01,1,Ciutat Vella,1,el Raval,155,1,13
2009-01-01,1,Ciutat Vella,1,el Raval,268,1,14
2009-01-01,1,Ciutat Vella,1,el Raval,309,1,15
2009-01-01,1,Ciutat Vella,1,el Raval,413,1,16
2009-01-01,1,Ciutat Vella,1,el Raval,276,1,17
2009-01-01,1,Ciutat Vella,1,el Raval,83,1,18
2009-01-01,1,Ciutat Vella,1,el Raval,22,1,19
2009-01-01,1,Ciutat Vella,1,el Raval,..,1,20
2009-01-01,1,Ciutat Vella,1,el Raval,..,2,0
2009-01-01,1,Ciutat Vella,1,el Raval,..,2,1
2009-01-01,1,Ciutat Vella,1,el Raval,..,2,2
2009-01-01,1,Ciutat Vella,1,el Raval,9,2,3
2009-01-01,1,Ciutat Vella,1,el Raval,65,2,4
2009-01-01,1,Ciutat Vella,1,el Raval,238,2,5
2009-01-01,1,Ciutat Vella,1,el Raval,420,2,6
2009-01-01,1,Ciutat Vella,1,el Raval,401,2,7
2009-01-01,1,Ciutat Vella,1,el Raval,312,2,8
2009-01-01,1,Ciutat Vella,1,el Raval,265,2,9
2009-01-01,1,Ciutat Vella,1,el Raval,203,2,10
2009-01-01,1,Ciutat Vella,1,el Raval,181,2,11
2009-01-01,1,Ciutat Vella,1,el Raval,197,2,12
2009-01-01,1,Ciutat Vella,1,el Raval,136,2,13
2009-01-01,1,Ciutat Vella,1,el Raval,184,2,14
2009-01-01,1,Ciutat Vella,1,el Raval,130,2,15
2009-01-01,1,Ciutat Vella,1,el Raval,93,2,16
2009-01-01,1,Ciutat Vella,1,el Raval,53,2,17
2009-01-01,1,Ciutat Vella,1,el Raval,12,2,18
2009-01-01,1,Ciutat Vella,1,el Raval,..,2,19
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,6,1,0
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,1,3
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,31,1,4
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,110,1,5
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,159,1,6
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,110,1,7
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,72,1,8
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,64,1,9
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,69,1,10
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,61,1,11
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,66,1,12
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,61,1,13
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,78,1,14
